id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,BE_Balance,2030,1,1,1,0.9381
2,BE_Balance,2030,1,2,2,0.9381
3,BE_Balance,2030,1,3,3,0.9381
4,BE_Balance,2030,1,4,4,0.9381
5,BE_Balance,2030,1,5,5,0.9381
6,BE_Balance,2030,1,6,6,1.749
7,BE_Balance,2030,1,7,7,1.749
8,BE_Balance,2030,1,8,8,1.749
9,BE_Balance,2030,1,9,9,1.749
10,BE_Balance,2030,1,10,10,1.749
11,BE_Balance,2030,1,11,11,1.749
12,BE_Balance,2030,1,12,12,1.749
13,BE_Balance,2030,1,13,13,0.9381
14,BE_Balance,2030,1,14,14,0.9381
15,BE_Balance,2030,1,15,15,0.9381
16,BE_Balance,2030,1,16,16,0.9381
17,BE_Balance,2030,1,17,17,0.9381
18,BE_Balance,2030,1,18,18,1.749
19,BE_Balance,2030,1,19,19,1.749
20,BE_Balance,2030,1,20,20,1.749
21,BE_Balance,2030,1,21,21,0.9381
22,BE_Balance,2030,1,22,22,0.9381
23,BE_Balance,2030,1,23,23,0.9381
24,BE_Balance,2030,1,24,24,0.9381
25,BE_Balance,2030,2,1,1,0.066
26,BE_Balance,2030,2,2,2,0.066
27,BE_Balance,2030,2,3,3,0.066
28,BE_Balance,2030,2,4,4,0.066
29,BE_Balance,2030,2,5,5,0.066
30,BE_Balance,2030,2,6,6,0.5841000000000001
31,BE_Balance,2030,2,7,7,0.5841000000000001
32,BE_Balance,2030,2,8,8,0.5841000000000001
33,BE_Balance,2030,2,9,9,0.5841000000000001
34,BE_Balance,2030,2,10,10,0.5841000000000001
35,BE_Balance,2030,2,11,11,0.5841000000000001
36,BE_Balance,2030,2,12,12,0.5841000000000001
37,BE_Balance,2030,2,13,13,0.5841000000000001
38,BE_Balance,2030,2,14,14,0.5841000000000001
39,BE_Balance,2030,2,15,15,0.5841000000000001
40,BE_Balance,2030,2,16,16,0.5841000000000001
41,BE_Balance,2030,2,17,17,0.5841000000000001
42,BE_Balance,2030,2,18,18,0.5841000000000001
43,BE_Balance,2030,2,19,19,0.5841000000000001
44,BE_Balance,2030,2,20,20,0.5841000000000001
45,BE_Balance,2030,2,21,21,0.5841000000000001
46,BE_Balance,2030,2,22,22,0.5841000000000001
47,BE_Balance,2030,2,23,23,0.5841000000000001
48,BE_Balance,2030,2,24,24,0.5841000000000001
49,BE_Balance,2030,3,1,1,0.058
50,BE_Balance,2030,3,2,2,0.058
51,BE_Balance,2030,3,3,3,0.058
52,BE_Balance,2030,3,4,4,0.058
53,BE_Balance,2030,3,5,5,0.058
54,BE_Balance,2030,3,6,6,0.058
55,BE_Balance,2030,3,7,7,0.058
56,BE_Balance,2030,3,8,8,0.058
57,BE_Balance,2030,3,9,9,0.058
58,BE_Balance,2030,3,10,10,0.058
59,BE_Balance,2030,3,11,11,0.058
60,BE_Balance,2030,3,12,12,0.058
61,BE_Balance,2030,3,13,13,0.058
62,BE_Balance,2030,3,14,14,0.058
63,BE_Balance,2030,3,15,15,0.058
64,BE_Balance,2030,3,16,16,0.058
65,BE_Balance,2030,3,17,17,0.5133
66,BE_Balance,2030,3,18,18,0.5133
67,BE_Balance,2030,3,19,19,0.058
68,BE_Balance,2030,3,20,20,0.058
69,BE_Balance,2030,3,21,21,0.058
70,BE_Balance,2030,3,22,22,0.058
71,BE_Balance,2030,3,23,23,0.058
72,BE_Balance,2030,3,24,24,0.058
73,BE_Balance,2030,4,1,1,0.4071
74,BE_Balance,2030,4,2,2,0.046
75,BE_Balance,2030,4,3,3,0.046
76,BE_Balance,2030,4,4,4,0.046
77,BE_Balance,2030,4,5,5,0.046
78,BE_Balance,2030,4,6,6,0.4071
79,BE_Balance,2030,4,7,7,0.4071
80,BE_Balance,2030,4,8,8,0.4071
81,BE_Balance,2030,4,9,9,0.4071
82,BE_Balance,2030,4,10,10,0.4071
83,BE_Balance,2030,4,11,11,0.4071
84,BE_Balance,2030,4,12,12,0.4071
85,BE_Balance,2030,4,13,13,0.046
86,BE_Balance,2030,4,14,14,0.046
87,BE_Balance,2030,4,15,15,0.046
88,BE_Balance,2030,4,16,16,0.046
89,BE_Balance,2030,4,17,17,0.4071
90,BE_Balance,2030,4,18,18,0.4071
91,BE_Balance,2030,4,19,19,0.4071
92,BE_Balance,2030,4,20,20,0.4071
93,BE_Balance,2030,4,21,21,0.4071
94,BE_Balance,2030,4,22,22,0.4071
95,BE_Balance,2030,4,23,23,0.4071
96,BE_Balance,2030,4,24,24,0.046
97,BE_Balance,2030,5,1,1,0.10400000000000001
98,BE_Balance,2030,5,2,2,0.10400000000000001
99,BE_Balance,2030,5,3,3,0.10400000000000001
100,BE_Balance,2030,5,4,4,0.10400000000000001
101,BE_Balance,2030,5,5,5,0.10400000000000001
102,BE_Balance,2030,5,6,6,0.10400000000000001
103,BE_Balance,2030,5,7,7,0.10400000000000001
104,BE_Balance,2030,5,8,8,0.10400000000000001
105,BE_Balance,2030,5,9,9,0.10400000000000001
106,BE_Balance,2030,5,10,10,0.10400000000000001
107,BE_Balance,2030,5,11,11,0.10400000000000001
108,BE_Balance,2030,5,12,12,0.10400000000000001
109,BE_Balance,2030,5,13,13,0.10400000000000001
110,BE_Balance,2030,5,14,14,0.10400000000000001
111,BE_Balance,2030,5,15,15,0.10400000000000001
112,BE_Balance,2030,5,16,16,0.10400000000000001
113,BE_Balance,2030,5,17,17,0.10400000000000001
114,BE_Balance,2030,5,18,18,0.10400000000000001
115,BE_Balance,2030,5,19,19,0.10400000000000001
116,BE_Balance,2030,5,20,20,0.10400000000000001
117,BE_Balance,2030,5,21,21,0.10400000000000001
118,BE_Balance,2030,5,22,22,0.10400000000000001
119,BE_Balance,2030,5,23,23,0.10400000000000001
120,BE_Balance,2030,5,24,24,0.10400000000000001
121,BE_Balance,2030,6,1,1,0.3186
122,BE_Balance,2030,6,2,2,0.3186
123,BE_Balance,2030,6,3,3,0.3186
124,BE_Balance,2030,6,4,4,0.3186
125,BE_Balance,2030,6,5,5,0.3186
126,BE_Balance,2030,6,6,6,0.3186
127,BE_Balance,2030,6,7,7,0.3186
128,BE_Balance,2030,6,8,8,0.3186
129,BE_Balance,2030,6,9,9,0.3186
130,BE_Balance,2030,6,10,10,0.3186
131,BE_Balance,2030,6,11,11,0.3186
132,BE_Balance,2030,6,12,12,0.3186
133,BE_Balance,2030,6,13,13,0.3186
134,BE_Balance,2030,6,14,14,0.3186
135,BE_Balance,2030,6,15,15,0.3186
136,BE_Balance,2030,6,16,16,0.3186
137,BE_Balance,2030,6,17,17,0.3186
138,BE_Balance,2030,6,18,18,0.3186
139,BE_Balance,2030,6,19,19,0.3186
140,BE_Balance,2030,6,20,20,0.3186
141,BE_Balance,2030,6,21,21,0.3186
142,BE_Balance,2030,6,22,22,0.3186
143,BE_Balance,2030,6,23,23,0.3186
144,BE_Balance,2030,6,24,24,0.3186
145,BE_Balance,2030,7,1,1,0.6549
146,BE_Balance,2030,7,2,2,0.6549
147,BE_Balance,2030,7,3,3,0.6549
