id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
117,DE_Balance,2030,10,1,6,9.108
118,DE_Balance,2030,10,7,12,14.075999999999999
119,DE_Balance,2030,10,13,18,14.075999999999999
120,DE_Balance,2030,10,19,24,9.108
121,FR_Balance,2030,1,1,6,5.6286000000000005
122,FR_Balance,2030,1,7,12,16.218
123,FR_Balance,2030,1,13,18,5.6286000000000005
124,FR_Balance,2030,1,19,24,10.494
125,FR_Balance,2030,2,1,6,0.396
126,FR_Balance,2030,2,7,12,0.396
127,FR_Balance,2030,2,13,18,0.396
128,FR_Balance,2030,2,19,24,3.5046
129,FR_Balance,2030,3,1,6,0.34800000000000003
130,FR_Balance,2030,3,7,12,0.34800000000000003
131,FR_Balance,2030,3,13,18,3.0798
132,FR_Balance,2030,3,19,24,3.0798
133,FR_Balance,2030,4,1,6,0.276
134,FR_Balance,2030,4,7,12,0.276
135,FR_Balance,2030,4,13,18,0.276
136,FR_Balance,2030,4,19,24,2.4426
137,FR_Balance,2030,5,1,6,0.624
138,FR_Balance,2030,5,7,12,0.624
139,FR_Balance,2030,5,13,18,0.624
140,FR_Balance,2030,5,19,24,0.624
141,FR_Balance,2030,6,1,6,0.216
142,FR_Balance,2030,6,7,12,1.9116
143,FR_Balance,2030,6,13,18,0.216
144,FR_Balance,2030,6,19,24,0.216
145,FR_Balance,2030,7,1,6,7.3260000000000005
146,FR_Balance,2030,7,7,12,11.322
147,FR_Balance,2030,7,13,18,11.322
148,FR_Balance,2030,7,19,24,67.6683599396641
149,FR_Balance,2030,8,1,6,0.372
150,FR_Balance,2030,8,7,12,0.372
151,FR_Balance,2030,8,13,18,0.372
152,FR_Balance,2030,8,19,24,0.372
153,FR_Balance,2030,9,1,6,0.516
154,FR_Balance,2030,9,7,12,0.516
155,FR_Balance,2030,9,13,18,0.516
156,FR_Balance,2030,9,19,24,4.5666
157,FR_Balance,2030,10,1,6,4.8852
158,FR_Balance,2030,10,7,12,9.108
159,FR_Balance,2030,10,13,18,9.108
160,FR_Balance,2030,10,19,24,9.108
161,LU_Balance,2030,1,1,6,5.6286000000000005
162,LU_Balance,2030,1,7,12,10.494
163,LU_Balance,2030,1,13,18,5.6286000000000005
164,LU_Balance,2030,1,19,24,5.6286000000000005
165,LU_Balance,2030,2,1,6,0.396
166,LU_Balance,2030,2,7,12,3.5046
167,LU_Balance,2030,2,13,18,3.5046
168,LU_Balance,2030,2,19,24,3.5046
169,LU_Balance,2030,3,1,6,0.34800000000000003
170,LU_Balance,2030,3,7,12,0.34800000000000003
171,LU_Balance,2030,3,13,18,3.0798
172,LU_Balance,2030,3,19,24,3.0798
173,LU_Balance,2030,4,1,6,0.276
174,LU_Balance,2030,4,7,12,2.4426
175,LU_Balance,2030,4,13,18,0.276
176,LU_Balance,2030,4,19,24,2.4426
177,LU_Balance,2030,5,1,6,0.624
178,LU_Balance,2030,5,7,12,0.624
179,LU_Balance,2030,5,13,18,0.624
180,LU_Balance,2030,5,19,24,0.624
181,LU_Balance,2030,6,1,6,1.9116
182,LU_Balance,2030,6,7,12,1.9116
183,LU_Balance,2030,6,13,18,0.216
184,LU_Balance,2030,6,19,24,1.9116
185,LU_Balance,2030,7,1,6,7.3260000000000005
186,LU_Balance,2030,7,7,12,11.322
187,LU_Balance,2030,7,13,18,3.9294000000000002
188,LU_Balance,2030,7,19,24,67.6683599396641
189,LU_Balance,2030,8,1,6,0.372
190,LU_Balance,2030,8,7,12,0.372
191,LU_Balance,2030,8,13,18,0.372
192,LU_Balance,2030,8,19,24,0.372
193,LU_Balance,2030,9,1,6,0.516
