id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,UK_Balance,2030,1,1,6,233,0.0,4.9926
2,NL_Balance,UK_Balance,2030,1,7,12,234,0.0,0.0
3,NL_Balance,UK_Balance,2030,1,13,18,235,0.0,0.0
4,NL_Balance,UK_Balance,2030,1,19,24,236,0.0,4.9926
5,NL_Balance,DE_Balance,2030,1,1,6,237,0.0,-0.0
6,NL_Balance,DE_Balance,2030,1,7,12,238,0.0,9.858
7,NL_Balance,DE_Balance,2030,1,13,18,239,0.0,4.9926
8,NL_Balance,DE_Balance,2030,1,19,24,240,0.0,4.9926
9,NL_Balance,BE_Balance,2030,1,1,6,241,0.0,0.0
10,NL_Balance,BE_Balance,2030,1,7,12,242,0.0,-0.0
11,NL_Balance,BE_Balance,2030,1,13,18,243,0.0,-0.0
12,NL_Balance,BE_Balance,2030,1,19,24,244,0.0,0.0
13,BE_Balance,UK_Balance,2030,1,1,6,245,0.0,4.9926
14,BE_Balance,UK_Balance,2030,1,7,12,246,0.0,0.0
15,BE_Balance,UK_Balance,2030,1,13,18,247,0.0,0.0
16,BE_Balance,UK_Balance,2030,1,19,24,248,0.0,4.9926
17,BE_Balance,LU_Balance,2030,1,1,6,249,0.0,0.0
18,BE_Balance,LU_Balance,2030,1,7,12,250,0.0,4.865399999999999
19,BE_Balance,LU_Balance,2030,1,13,18,251,0.0,0.0
20,BE_Balance,LU_Balance,2030,1,19,24,252,0.0,-0.0
21,BE_Balance,DE_Balance,2030,1,1,6,253,0.0,-0.0
22,BE_Balance,DE_Balance,2030,1,7,12,254,0.0,9.858
23,BE_Balance,DE_Balance,2030,1,13,18,255,0.0,4.9926
24,BE_Balance,DE_Balance,2030,1,19,24,256,0.0,4.9926
25,BE_Balance,FR_Balance,2030,1,1,6,257,0.0,0.0
26,BE_Balance,FR_Balance,2030,1,7,12,258,-5.724,0.0
27,BE_Balance,FR_Balance,2030,1,13,18,259,0.0,0.0
28,BE_Balance,FR_Balance,2030,1,19,24,260,-10.5894,0.0
29,DE_Balance,LU_Balance,2030,1,1,6,261,0.0,0.0
30,DE_Balance,LU_Balance,2030,1,7,12,262,-4.9926,0.0
31,DE_Balance,LU_Balance,2030,1,13,18,263,-4.9926,0.0
32,DE_Balance,LU_Balance,2030,1,19,24,264,-4.9926,0.0
33,DE_Balance,CH_Balance,2030,1,1,6,265,-4.865399999999999,0.0
34,DE_Balance,CH_Balance,2030,1,7,12,266,-9.858,0.0
35,DE_Balance,CH_Balance,2030,1,13,18,267,0.0,-0.0
36,DE_Balance,CH_Balance,2030,1,19,24,268,-9.858,0.0
37,DE_Balance,FR_Balance,2030,1,1,6,269,0.0,0.0
38,DE_Balance,FR_Balance,2030,1,7,12,270,-15.582,0.0
39,DE_Balance,FR_Balance,2030,1,13,18,271,-4.9926,0.0
40,DE_Balance,FR_Balance,2030,1,19,24,272,-15.582,0.0
41,FR_Balance,LU_Balance,2030,1,1,6,273,0.0,-0.0
42,FR_Balance,LU_Balance,2030,1,7,12,274,0.0,10.5894
43,FR_Balance,LU_Balance,2030,1,13,18,275,0.0,-0.0
44,FR_Balance,LU_Balance,2030,1,19,24,276,0.0,10.5894
45,FR_Balance,UK_Balance,2030,1,1,6,277,0.0,4.9926
46,FR_Balance,UK_Balance,2030,1,7,12,278,0.0,5.724
47,FR_Balance,UK_Balance,2030,1,13,18,279,0.0,-0.0
48,FR_Balance,UK_Balance,2030,1,19,24,280,0.0,15.582
49,FR_Balance,CH_Balance,2030,1,1,6,281,-4.865399999999999,0.0
50,FR_Balance,CH_Balance,2030,1,7,12,282,0.0,5.724
51,FR_Balance,CH_Balance,2030,1,13,18,283,0.0,4.9926
52,FR_Balance,CH_Balance,2030,1,19,24,284,0.0,5.724
53,NL_Balance,UK_Balance,2030,2,1,6,541,0.0,-0.0
54,NL_Balance,UK_Balance,2030,2,7,12,542,0.0,0.0
55,NL_Balance,UK_Balance,2030,2,13,18,543,-3.0294000000000008,0.0
56,NL_Balance,UK_Balance,2030,2,19,24,544,0.0,3.1086
57,BE_Balance,UK_Balance,2030,2,1,6,545,0.0,-0.0
58,BE_Balance,UK_Balance,2030,2,7,12,546,-3.1086,0.0
59,BE_Balance,UK_Balance,2030,2,13,18,547,-6.138000000000001,0.0
60,BE_Balance,UK_Balance,2030,2,19,24,548,0.0,0.0
61,BE_Balance,LU_Balance,2030,2,1,6,549,0.0,0.0
62,BE_Balance,LU_Balance,2030,2,7,12,550,0.0,-0.0
63,BE_Balance,LU_Balance,2030,2,13,18,551,0.0,0.0
64,BE_Balance,LU_Balance,2030,2,19,24,552,0.0,-0.0
65,BE_Balance,DE_Balance,2030,2,1,6,553,0.0,-0.0
66,BE_Balance,DE_Balance,2030,2,7,12,554,0.0,-0.0
