id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,BE_E_Demand,2030,1,1,6,5.6286000000000005
2,BE_E_Demand,2030,1,7,12,5.6286000000000005
3,BE_E_Demand,2030,1,13,18,5.6286000000000005
4,BE_E_Demand,2030,1,19,24,5.6286000000000005
5,BE_E_Demand,2030,2,1,6,0.396
6,BE_E_Demand,2030,2,7,12,0.396
7,BE_E_Demand,2030,2,13,18,0.396
8,BE_E_Demand,2030,2,19,24,0.396
9,BE_E_Demand,2030,3,1,6,0.34800000000000003
10,BE_E_Demand,2030,3,7,12,0.34800000000000003
11,BE_E_Demand,2030,3,13,18,0.34800000000000003
12,BE_E_Demand,2030,3,19,24,0.34800000000000003
13,BE_E_Demand,2030,4,1,6,0.276
14,BE_E_Demand,2030,4,7,12,0.276
15,BE_E_Demand,2030,4,13,18,0.276
16,BE_E_Demand,2030,4,19,24,0.276
17,BE_E_Demand,2030,5,1,6,0.624
18,BE_E_Demand,2030,5,7,12,0.624
19,BE_E_Demand,2030,5,13,18,0.624
20,BE_E_Demand,2030,5,19,24,0.624
21,BE_E_Demand,2030,6,1,6,0.216
22,BE_E_Demand,2030,6,7,12,0.216
23,BE_E_Demand,2030,6,13,18,0.216
24,BE_E_Demand,2030,6,19,24,1.9116
25,BE_E_Demand,2030,7,1,6,7.3260000000000005
26,BE_E_Demand,2030,7,7,12,11.322
27,BE_E_Demand,2030,7,13,18,7.3260000000000005
28,BE_E_Demand,2030,7,19,24,11.322
29,BE_E_Demand,2030,8,1,6,0.372
30,BE_E_Demand,2030,8,7,12,0.372
31,BE_E_Demand,2030,8,13,18,0.372
32,BE_E_Demand,2030,8,19,24,0.372
33,BE_E_Demand,2030,9,1,6,0.516
34,BE_E_Demand,2030,9,7,12,0.516
35,BE_E_Demand,2030,9,13,18,0.516
36,BE_E_Demand,2030,9,19,24,4.5666
37,BE_E_Demand,2030,10,1,6,9.108
38,BE_E_Demand,2030,10,7,12,14.075999999999999
39,BE_E_Demand,2030,10,13,18,14.075999999999999
40,BE_E_Demand,2030,10,19,24,9.108
41,CH_E_Demand,2030,1,1,6,10.494
42,CH_E_Demand,2030,1,7,12,10.494
43,CH_E_Demand,2030,1,13,18,0.636
44,CH_E_Demand,2030,1,19,24,10.494
45,CH_E_Demand,2030,2,1,6,0.396
46,CH_E_Demand,2030,2,7,12,0.396
47,CH_E_Demand,2030,2,13,18,0.396
48,CH_E_Demand,2030,2,19,24,0.396
49,CH_E_Demand,2030,3,1,6,5.742
50,CH_E_Demand,2030,3,7,12,5.742
51,CH_E_Demand,2030,3,13,18,5.742
52,CH_E_Demand,2030,3,19,24,85.66115993966412
53,CH_E_Demand,2030,4,1,6,0.276
54,CH_E_Demand,2030,4,7,12,0.276
55,CH_E_Demand,2030,4,13,18,0.276
56,CH_E_Demand,2030,4,19,24,0.276
57,CH_E_Demand,2030,5,1,6,0.624
58,CH_E_Demand,2030,5,7,12,0.624
59,CH_E_Demand,2030,5,13,18,0.624
60,CH_E_Demand,2030,5,19,24,0.624
61,CH_E_Demand,2030,6,1,6,0.216
62,CH_E_Demand,2030,6,7,12,0.216
63,CH_E_Demand,2030,6,13,18,0.216
64,CH_E_Demand,2030,6,19,24,0.216
65,CH_E_Demand,2030,7,1,6,11.322
