id,asset,year,rep_period,time_block_start,time_block_end,dual_minimum_up_time
115,CH_Coal,2030,9,13,18,0.0
116,CH_Coal,2030,9,19,24,0.0
117,CH_Coal,2030,10,1,6,0.0
118,CH_Coal,2030,10,7,12,0.0
119,CH_Coal,2030,10,13,18,0.0
120,CH_Coal,2030,10,19,24,0.0
121,CH_Nuclear,2030,1,1,6,0.0
122,CH_Nuclear,2030,1,7,12,0.0
123,CH_Nuclear,2030,1,13,18,0.0
124,CH_Nuclear,2030,1,19,24,0.0
125,CH_Nuclear,2030,2,1,6,0.0
126,CH_Nuclear,2030,2,7,12,0.0
127,CH_Nuclear,2030,2,13,18,0.0
128,CH_Nuclear,2030,2,19,24,0.0
129,CH_Nuclear,2030,3,1,6,0.0
130,CH_Nuclear,2030,3,7,12,0.0
131,CH_Nuclear,2030,3,13,18,0.0
132,CH_Nuclear,2030,3,19,24,0.0
133,CH_Nuclear,2030,4,1,6,0.0
134,CH_Nuclear,2030,4,7,12,0.0
135,CH_Nuclear,2030,4,13,18,0.0
136,CH_Nuclear,2030,4,19,24,0.0
137,CH_Nuclear,2030,5,1,6,0.0
138,CH_Nuclear,2030,5,7,12,0.0
139,CH_Nuclear,2030,5,13,18,0.0
140,CH_Nuclear,2030,5,19,24,0.0
141,CH_Nuclear,2030,6,1,6,0.0
142,CH_Nuclear,2030,6,7,12,0.0
143,CH_Nuclear,2030,6,13,18,0.0
144,CH_Nuclear,2030,6,19,24,0.0
145,CH_Nuclear,2030,7,1,6,0.0
146,CH_Nuclear,2030,7,7,12,0.0
147,CH_Nuclear,2030,7,13,18,0.0
148,CH_Nuclear,2030,7,19,24,0.0
149,CH_Nuclear,2030,8,1,6,0.0
150,CH_Nuclear,2030,8,7,12,0.0
151,CH_Nuclear,2030,8,13,18,0.0
152,CH_Nuclear,2030,8,19,24,0.0
153,CH_Nuclear,2030,9,1,6,0.0
154,CH_Nuclear,2030,9,7,12,0.0
155,CH_Nuclear,2030,9,13,18,0.0
156,CH_Nuclear,2030,9,19,24,0.0
157,CH_Nuclear,2030,10,1,6,0.0
158,CH_Nuclear,2030,10,7,12,0.0
159,CH_Nuclear,2030,10,13,18,0.0
160,CH_Nuclear,2030,10,19,24,0.0
161,DE_Coal,2030,1,1,6,0.0
162,DE_Coal,2030,1,7,12,0.0
163,DE_Coal,2030,1,13,18,0.0
164,DE_Coal,2030,1,19,24,0.0
165,DE_Coal,2030,2,1,6,0.0
166,DE_Coal,2030,2,7,12,0.0
167,DE_Coal,2030,2,13,18,0.0
168,DE_Coal,2030,2,19,24,0.0
169,DE_Coal,2030,3,1,6,0.0
170,DE_Coal,2030,3,7,12,0.0
171,DE_Coal,2030,3,13,18,0.0
172,DE_Coal,2030,3,19,24,0.0
173,DE_Coal,2030,4,1,6,0.0
174,DE_Coal,2030,4,7,12,0.0
175,DE_Coal,2030,4,13,18,0.0
