id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
68,DE_Coal,DE_Balance,2030,1,1.0,1.0,19,24,0.0
69,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,1,6,0.0
70,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,7,12,0.0
71,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,13,18,0.0
72,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,19,24,-0.0
73,DE_CCGT,DE_Balance,2030,1,1.0,1.0,1,6,0.0
74,DE_CCGT,DE_Balance,2030,1,1.0,1.0,7,12,0.0
75,DE_CCGT,DE_Balance,2030,1,1.0,1.0,13,18,0.0
76,DE_CCGT,DE_Balance,2030,1,1.0,1.0,19,24,0.0
77,DE_OCGT,DE_Balance,2030,1,1.0,1.0,1,6,0.0
78,DE_OCGT,DE_Balance,2030,1,1.0,1.0,7,12,0.0
79,DE_OCGT,DE_Balance,2030,1,1.0,1.0,13,18,0.0
80,DE_OCGT,DE_Balance,2030,1,1.0,1.0,19,24,0.0
81,DE_Battery,DE_Balance,2030,1,1.0,1.0,1,6,0.0
82,DE_Battery,DE_Balance,2030,1,1.0,1.0,7,12,0.6016771362774307
83,DE_Battery,DE_Balance,2030,1,1.0,1.0,13,18,0.6016771362774307
84,DE_Battery,DE_Balance,2030,1,1.0,1.0,19,24,0.0
85,DE_Balance,DE_Battery,2030,1,1.0,1.0,1,6,0.0
86,DE_Balance,DE_Battery,2030,1,1.0,1.0,7,12,0.6016771362774307
87,DE_Balance,DE_Battery,2030,1,1.0,1.0,13,18,0.6016771362774307
88,DE_Balance,DE_Battery,2030,1,1.0,1.0,19,24,0.0
89,FR_Solar,FR_Balance,2030,1,1.0,1.0,1,6,0.07136261207547172
90,FR_Solar,FR_Balance,2030,1,1.0,1.0,7,12,10112.549709866376
91,FR_Solar,FR_Balance,2030,1,1.0,1.0,13,18,18457.46264875721
92,FR_Solar,FR_Balance,2030,1,1.0,1.0,19,24,1375.6473661496595
93,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,1,6,36701.01427730565
94,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,7,12,25451.16201224905
95,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,13,18,25164.20681843018
96,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,19,24,37169.277207207546
