id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flow_with_basic_unit_commitment
120,BE_Nuclear,2030,10,19,24,0.0
121,BE_OCGT,2030,1,1,6,0.0
122,BE_OCGT,2030,1,7,12,0.0
123,BE_OCGT,2030,1,13,18,0.0
124,BE_OCGT,2030,1,19,24,0.0
125,BE_OCGT,2030,2,1,6,0.0
126,BE_OCGT,2030,2,7,12,0.0
127,BE_OCGT,2030,2,13,18,0.0
128,BE_OCGT,2030,2,19,24,0.0
129,BE_OCGT,2030,3,1,6,0.0
130,BE_OCGT,2030,3,7,12,0.0
131,BE_OCGT,2030,3,13,18,0.0
132,BE_OCGT,2030,3,19,24,0.0
133,BE_OCGT,2030,4,1,6,0.0
134,BE_OCGT,2030,4,7,12,0.0
135,BE_OCGT,2030,4,13,18,0.0
136,BE_OCGT,2030,4,19,24,0.0
137,BE_OCGT,2030,5,1,6,0.0
138,BE_OCGT,2030,5,7,12,0.0
139,BE_OCGT,2030,5,13,18,0.0
140,BE_OCGT,2030,5,19,24,0.0
141,BE_OCGT,2030,6,1,6,0.0
142,BE_OCGT,2030,6,7,12,0.0
143,BE_OCGT,2030,6,13,18,0.0
144,BE_OCGT,2030,6,19,24,0.0
145,BE_OCGT,2030,7,1,6,0.0
146,BE_OCGT,2030,7,7,12,0.0
147,BE_OCGT,2030,7,13,18,0.0
148,BE_OCGT,2030,7,19,24,0.0
149,BE_OCGT,2030,8,1,6,0.0
150,BE_OCGT,2030,8,7,12,0.0
151,BE_OCGT,2030,8,13,18,0.0
152,BE_OCGT,2030,8,19,24,0.0
153,BE_OCGT,2030,9,1,6,0.0
154,BE_OCGT,2030,9,7,12,0.0
155,BE_OCGT,2030,9,13,18,0.0
156,BE_OCGT,2030,9,19,24,0.0
157,BE_OCGT,2030,10,1,6,0.0
158,BE_OCGT,2030,10,7,12,0.0
159,BE_OCGT,2030,10,13,18,0.0
160,BE_OCGT,2030,10,19,24,0.0
161,CH_CCGT,2030,1,1,6,0.0
162,CH_CCGT,2030,1,7,12,0.0
163,CH_CCGT,2030,1,13,18,0.0
164,CH_CCGT,2030,1,19,24,0.0
165,CH_CCGT,2030,2,1,6,0.0
166,CH_CCGT,2030,2,7,12,0.0
167,CH_CCGT,2030,2,13,18,0.0
168,CH_CCGT,2030,2,19,24,0.0
169,CH_CCGT,2030,3,1,6,0.0
170,CH_CCGT,2030,3,7,12,0.0
171,CH_CCGT,2030,3,13,18,0.0
172,CH_CCGT,2030,3,19,24,0.0
173,CH_CCGT,2030,4,1,6,0.0
174,CH_CCGT,2030,4,7,12,0.0
175,CH_CCGT,2030,4,13,18,0.0
176,CH_CCGT,2030,4,19,24,0.0
177,CH_CCGT,2030,5,1,6,0.0
178,CH_CCGT,2030,5,7,12,0.0
179,CH_CCGT,2030,5,13,18,0.0
180,CH_CCGT,2030,5,19,24,0.0
181,CH_CCGT,2030,6,1,6,0.0
182,CH_CCGT,2030,6,7,12,0.0
183,CH_CCGT,2030,6,13,18,0.0
184,CH_CCGT,2030,6,19,24,0.0
185,CH_CCGT,2030,7,1,6,0.0
186,CH_CCGT,2030,7,7,12,0.0
187,CH_CCGT,2030,7,13,18,0.0
188,CH_CCGT,2030,7,19,24,0.0
189,CH_CCGT,2030,8,1,6,0.0
190,CH_CCGT,2030,8,7,12,0.0
191,CH_CCGT,2030,8,13,18,0.0
192,CH_CCGT,2030,8,19,24,0.0
193,CH_CCGT,2030,9,1,6,0.0
194,CH_CCGT,2030,9,7,12,0.0
195,CH_CCGT,2030,9,13,18,0.0
196,CH_CCGT,2030,9,19,24,0.0
197,CH_CCGT,2030,10,1,6,0.0
