asset,partition,rep_period,specification,year
NL_Solar,6,1,uniform,2030
NL_Wind_Onshore,6,1,uniform,2030
NL_Wind_Offshore,6,1,uniform,2030
NL_CCGT,6,1,uniform,2030
NL_OCGT,6,1,uniform,2030
NL_Battery,6,1,uniform,2030
NL_E_Demand,6,1,uniform,2030
NL_Balance,6,1,uniform,2030
NL_Coal,6,1,uniform,2030
NL_Nuclear,6,1,uniform,2030
NL_Solar,6,2,uniform,2030
NL_Wind_Onshore,6,2,uniform,2030
NL_Wind_Offshore,6,2,uniform,2030
NL_CCGT,6,2,uniform,2030
NL_OCGT,6,2,uniform,2030
NL_Battery,6,2,uniform,2030
NL_E_Demand,6,2,uniform,2030
NL_Balance,6,2,uniform,2030
NL_Coal,6,2,uniform,2030
NL_Nuclear,6,2,uniform,2030
NL_Solar,6,3,uniform,2030
NL_Wind_Onshore,6,3,uniform,2030
NL_Wind_Offshore,6,3,uniform,2030
NL_CCGT,6,3,uniform,2030
NL_OCGT,6,3,uniform,2030
NL_Battery,6,3,uniform,2030
NL_E_Demand,6,3,uniform,2030
NL_Balance,6,3,uniform,2030
NL_Coal,6,3,uniform,2030
NL_Nuclear,6,3,uniform,2030
NL_Solar,6,4,uniform,2030
NL_Wind_Onshore,6,4,uniform,2030
NL_Wind_Offshore,6,4,uniform,2030
NL_CCGT,6,4,uniform,2030
NL_OCGT,6,4,uniform,2030
NL_Battery,6,4,uniform,2030
NL_E_Demand,6,4,uniform,2030
NL_Balance,6,4,uniform,2030
NL_Coal,6,4,uniform,2030
NL_Nuclear,6,4,uniform,2030
NL_Solar,6,5,uniform,2030
NL_Wind_Onshore,6,5,uniform,2030
NL_Wind_Offshore,6,5,uniform,2030
NL_CCGT,6,5,uniform,2030
NL_OCGT,6,5,uniform,2030
NL_Battery,6,5,uniform,2030
NL_E_Demand,6,5,uniform,2030
NL_Balance,6,5,uniform,2030
NL_Coal,6,5,uniform,2030
NL_Nuclear,6,5,uniform,2030
NL_Solar,6,6,uniform,2030
NL_Wind_Onshore,6,6,uniform,2030
NL_Wind_Offshore,6,6,uniform,2030
NL_CCGT,6,6,uniform,2030
NL_OCGT,6,6,uniform,2030
NL_Battery,6,6,uniform,2030
NL_E_Demand,6,6,uniform,2030
NL_Balance,6,6,uniform,2030
NL_Coal,6,6,uniform,2030
NL_Nuclear,6,6,uniform,2030
NL_Solar,6,7,uniform,2030
NL_Wind_Onshore,6,7,uniform,2030
NL_Wind_Offshore,6,7,uniform,2030
NL_CCGT,6,7,uniform,2030
NL_OCGT,6,7,uniform,2030
NL_Battery,6,7,uniform,2030
NL_E_Demand,6,7,uniform,2030
NL_Balance,6,7,uniform,2030
NL_Coal,6,7,uniform,2030
NL_Nuclear,6,7,uniform,2030
NL_Solar,6,8,uniform,2030
NL_Wind_Onshore,6,8,uniform,2030
NL_Wind_Offshore,6,8,uniform,2030
NL_CCGT,6,8,uniform,2030
NL_OCGT,6,8,uniform,2030
NL_Battery,6,8,uniform,2030
NL_E_Demand,6,8,uniform,2030
NL_Balance,6,8,uniform,2030
NL_Coal,6,8,uniform,2030
NL_Nuclear,6,8,uniform,2030
NL_Solar,6,9,uniform,2030
NL_Wind_Onshore,6,9,uniform,2030
NL_Wind_Offshore,6,9,uniform,2030
NL_CCGT,6,9,uniform,2030
NL_OCGT,6,9,uniform,2030
NL_Battery,6,9,uniform,2030
NL_E_Demand,6,9,uniform,2030
NL_Balance,6,9,uniform,2030
NL_Coal,6,9,uniform,2030
NL_Nuclear,6,9,uniform,2030
NL_Solar,6,10,uniform,2030
NL_Wind_Onshore,6,10,uniform,2030
NL_Wind_Offshore,6,10,uniform,2030
NL_CCGT,6,10,uniform,2030
NL_OCGT,6,10,uniform,2030
NL_Battery,6,10,uniform,2030
NL_E_Demand,6,10,uniform,2030
NL_Balance,6,10,uniform,2030
NL_Coal,6,10,uniform,2030
NL_Nuclear,6,10,uniform,2030
BE_Solar,6,1,uniform,2030
BE_Wind_Onshore,6,1,uniform,2030
BE_Wind_Offshore,6,1,uniform,2030
BE_CCGT,6,1,uniform,2030
BE_OCGT,6,1,uniform,2030
BE_Battery,6,1,uniform,2030
BE_E_Demand,6,1,uniform,2030
BE_Balance,6,1,uniform,2030
BE_Coal,6,1,uniform,2030
BE_Nuclear,6,1,uniform,2030
BE_Solar,6,2,uniform,2030
BE_Wind_Onshore,6,2,uniform,2030
BE_Wind_Offshore,6,2,uniform,2030
BE_CCGT,6,2,uniform,2030
BE_OCGT,6,2,uniform,2030
BE_Battery,6,2,uniform,2030
BE_E_Demand,6,2,uniform,2030
BE_Balance,6,2,uniform,2030
BE_Coal,6,2,uniform,2030
BE_Nuclear,6,2,uniform,2030
BE_Solar,6,3,uniform,2030
BE_Wind_Onshore,6,3,uniform,2030
BE_Wind_Offshore,6,3,uniform,2030
BE_CCGT,6,3,uniform,2030
BE_OCGT,6,3,uniform,2030
BE_Battery,6,3,uniform,2030
BE_E_Demand,6,3,uniform,2030
BE_Balance,6,3,uniform,2030
BE_Coal,6,3,uniform,2030
BE_Nuclear,6,3,uniform,2030
BE_Solar,6,4,uniform,2030
BE_Wind_Onshore,6,4,uniform,2030
BE_Wind_Offshore,6,4,uniform,2030
BE_CCGT,6,4,uniform,2030
BE_OCGT,6,4,uniform,2030
BE_Battery,6,4,uniform,2030
BE_E_Demand,6,4,uniform,2030
BE_Balance,6,4,uniform,2030
BE_Coal,6,4,uniform,2030
BE_Nuclear,6,4,uniform,2030
BE_Solar,6,5,uniform,2030
BE_Wind_Onshore,6,5,uniform,2030
BE_Wind_Offshore,6,5,uniform,2030
BE_CCGT,6,5,uniform,2030
BE_OCGT,6,5,uniform,2030
BE_Battery,6,5,uniform,2030
BE_E_Demand,6,5,uniform,2030
BE_Balance,6,5,uniform,2030
BE_Coal,6,5,uniform,2030
BE_Nuclear,6,5,uniform,2030
BE_Solar,6,6,uniform,2030
BE_Wind_Onshore,6,6,uniform,2030
BE_Wind_Offshore,6,6,uniform,2030
BE_CCGT,6,6,uniform,2030
BE_OCGT,6,6,uniform,2030
BE_Battery,6,6,uniform,2030
BE_E_Demand,6,6,uniform,2030
BE_Balance,6,6,uniform,2030
BE_Coal,6,6,uniform,2030
BE_Nuclear,6,6,uniform,2030
BE_Solar,6,7,uniform,2030
BE_Wind_Onshore,6,7,uniform,2030
BE_Wind_Offshore,6,7,uniform,2030
BE_CCGT,6,7,uniform,2030
BE_OCGT,6,7,uniform,2030
BE_Battery,6,7,uniform,2030
BE_E_Demand,6,7,uniform,2030
BE_Balance,6,7,uniform,2030
BE_Coal,6,7,uniform,2030
BE_Nuclear,6,7,uniform,2030
BE_Solar,6,8,uniform,2030
BE_Wind_Onshore,6,8,uniform,2030
BE_Wind_Offshore,6,8,uniform,2030
BE_CCGT,6,8,uniform,2030
BE_OCGT,6,8,uniform,2030
BE_Battery,6,8,uniform,2030
BE_E_Demand,6,8,uniform,2030
BE_Balance,6,8,uniform,2030
BE_Coal,6,8,uniform,2030
BE_Nuclear,6,8,uniform,2030
BE_Solar,6,9,uniform,2030
BE_Wind_Onshore,6,9,uniform,2030
BE_Wind_Offshore,6,9,uniform,2030
BE_CCGT,6,9,uniform,2030
BE_OCGT,6,9,uniform,2030
BE_Battery,6,9,uniform,2030
BE_E_Demand,6,9,uniform,2030
BE_Balance,6,9,uniform,2030
BE_Coal,6,9,uniform,2030
BE_Nuclear,6,9,uniform,2030
BE_Solar,6,10,uniform,2030
BE_Wind_Onshore,6,10,uniform,2030
BE_Wind_Offshore,6,10,uniform,2030
BE_CCGT,6,10,uniform,2030
BE_OCGT,6,10,uniform,2030
BE_Battery,6,10,uniform,2030
BE_E_Demand,6,10,uniform,2030
BE_Balance,6,10,uniform,2030
BE_Coal,6,10,uniform,2030
BE_Nuclear,6,10,uniform,2030
DE_Solar,6,1,uniform,2030
