id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,BE_Balance,2030,1,1,4,0.424
2,BE_Balance,2030,1,5,8,3.7524
3,BE_Balance,2030,1,9,12,6.996
4,BE_Balance,2030,1,13,16,3.7524
5,BE_Balance,2030,1,17,20,3.7524
6,BE_Balance,2030,1,21,24,3.7524
7,BE_Balance,2030,2,1,4,0.264
8,BE_Balance,2030,2,5,8,0.264
9,BE_Balance,2030,2,9,12,0.264
10,BE_Balance,2030,2,13,16,0.264
11,BE_Balance,2030,2,17,20,0.264
12,BE_Balance,2030,2,21,24,0.264
13,BE_Balance,2030,3,1,4,0.232
14,BE_Balance,2030,3,5,8,0.232
15,BE_Balance,2030,3,9,12,0.232
16,BE_Balance,2030,3,13,16,0.232
17,BE_Balance,2030,3,17,20,0.232
18,BE_Balance,2030,3,21,24,0.232
19,BE_Balance,2030,4,1,4,0.184
20,BE_Balance,2030,4,5,8,0.184
21,BE_Balance,2030,4,9,12,0.184
22,BE_Balance,2030,4,13,16,0.184
23,BE_Balance,2030,4,17,20,0.184
24,BE_Balance,2030,4,21,24,0.184
25,BE_Balance,2030,5,1,4,0.41600000000000004
26,BE_Balance,2030,5,5,8,0.41600000000000004
27,BE_Balance,2030,5,9,12,0.41600000000000004
28,BE_Balance,2030,5,13,16,0.41600000000000004
29,BE_Balance,2030,5,17,20,0.41600000000000004
30,BE_Balance,2030,5,21,24,0.41600000000000004
31,BE_Balance,2030,6,1,4,1.2744
32,BE_Balance,2030,6,5,8,1.2744
33,BE_Balance,2030,6,9,12,2.3760000000000003
34,BE_Balance,2030,6,13,16,0.14400000000000002
35,BE_Balance,2030,6,17,20,0.14400000000000002
36,BE_Balance,2030,6,21,24,0.14400000000000002
37,BE_Balance,2030,7,1,4,2.6196
38,BE_Balance,2030,7,5,8,7.547999999999999
39,BE_Balance,2030,7,9,12,7.547999999999999
40,BE_Balance,2030,7,13,16,7.547999999999999
41,BE_Balance,2030,7,17,20,7.547999999999999
42,BE_Balance,2030,7,21,24,4.884
43,BE_Balance,2030,8,1,4,0.248
44,BE_Balance,2030,8,5,8,0.248
45,BE_Balance,2030,8,9,12,0.248
46,BE_Balance,2030,8,13,16,0.248
47,BE_Balance,2030,8,17,20,0.248
48,BE_Balance,2030,8,21,24,0.248
49,BE_Balance,2030,9,1,4,0.34400000000000003
50,BE_Balance,2030,9,5,8,0.34400000000000003
51,BE_Balance,2030,9,9,12,0.34400000000000003
52,BE_Balance,2030,9,13,16,0.34400000000000003
53,BE_Balance,2030,9,17,20,0.34400000000000003
54,BE_Balance,2030,9,21,24,0.34400000000000003
55,BE_Balance,2030,10,1,4,6.072
56,BE_Balance,2030,10,5,8,9.383999999999999
57,BE_Balance,2030,10,9,12,9.383999999999999
58,BE_Balance,2030,10,13,16,9.383999999999999
59,BE_Balance,2030,10,17,20,60.45082852833152
60,BE_Balance,2030,10,21,24,3.2568
61,CH_Balance,2030,1,1,4,6.996
62,CH_Balance,2030,1,5,8,6.996
63,CH_Balance,2030,1,9,12,0.424
64,CH_Balance,2030,1,13,16,0.424
65,CH_Balance,2030,1,17,20,6.996
66,CH_Balance,2030,1,21,24,6.996
67,CH_Balance,2030,2,1,4,0.264
68,CH_Balance,2030,2,5,8,0.264
69,CH_Balance,2030,2,9,12,0.264
70,CH_Balance,2030,2,13,16,0.264
71,CH_Balance,2030,2,17,20,0.264
72,CH_Balance,2030,2,21,24,0.264
73,CH_Balance,2030,3,1,4,3.8280000000000003
74,CH_Balance,2030,3,5,8,3.8280000000000003
75,CH_Balance,2030,3,9,12,3.8280000000000003
76,CH_Balance,2030,3,13,16,3.8280000000000003
77,CH_Balance,2030,3,17,20,60.92482852833152
78,CH_Balance,2030,3,21,24,50.84066282266521
79,CH_Balance,2030,4,1,4,3.036
80,CH_Balance,2030,4,5,8,3.036
81,CH_Balance,2030,4,9,12,3.036
82,CH_Balance,2030,4,13,16,0.184
83,CH_Balance,2030,4,17,20,0.184
84,CH_Balance,2030,4,21,24,0.184
85,CH_Balance,2030,5,1,4,0.41600000000000004
86,CH_Balance,2030,5,5,8,0.41600000000000004
87,CH_Balance,2030,5,9,12,0.41600000000000004
88,CH_Balance,2030,5,13,16,0.41600000000000004
89,CH_Balance,2030,5,17,20,0.41600000000000004
90,CH_Balance,2030,5,21,24,0.41600000000000004
91,CH_Balance,2030,6,1,4,0.14400000000000002
92,CH_Balance,2030,6,5,8,0.14400000000000002
93,CH_Balance,2030,6,9,12,0.14400000000000002
94,CH_Balance,2030,6,13,16,0.14400000000000002
95,CH_Balance,2030,6,17,20,0.14400000000000002
96,CH_Balance,2030,6,21,24,0.14400000000000002
97,CH_Balance,2030,7,1,4,7.547999999999999
98,CH_Balance,2030,7,5,8,7.547999999999999
99,CH_Balance,2030,7,9,12,4.884
100,CH_Balance,2030,7,13,16,4.884
101,CH_Balance,2030,7,17,20,4.884
102,CH_Balance,2030,7,21,24,4.884
103,CH_Balance,2030,8,1,4,4.0920000000000005
104,CH_Balance,2030,8,5,8,4.0920000000000005
105,CH_Balance,2030,8,9,12,0.248
106,CH_Balance,2030,8,13,16,0.248
107,CH_Balance,2030,8,17,20,0.248
108,CH_Balance,2030,8,21,24,0.248
109,CH_Balance,2030,9,1,4,0.34400000000000003
110,CH_Balance,2030,9,5,8,0.34400000000000003
111,CH_Balance,2030,9,9,12,0.34400000000000003
112,CH_Balance,2030,9,13,16,0.34400000000000003
113,CH_Balance,2030,9,17,20,0.34400000000000003
114,CH_Balance,2030,9,21,24,0.34400000000000003
115,CH_Balance,2030,10,1,4,9.383999999999999
116,CH_Balance,2030,10,5,8,9.383999999999999
117,CH_Balance,2030,10,9,12,9.383999999999999
118,CH_Balance,2030,10,13,16,6.072
119,CH_Balance,2030,10,17,20,9.383999999999999
120,CH_Balance,2030,10,21,24,6.072
121,DE_Balance,2030,1,1,4,0.424
122,DE_Balance,2030,1,5,8,0.424
123,DE_Balance,2030,1,9,12,0.424
124,DE_Balance,2030,1,13,16,0.424
125,DE_Balance,2030,1,17,20,0.424
126,DE_Balance,2030,1,21,24,0.424
127,DE_Balance,2030,2,1,4,0.264
128,DE_Balance,2030,2,5,8,0.264
129,DE_Balance,2030,2,9,12,0.264
130,DE_Balance,2030,2,13,16,0.264
131,DE_Balance,2030,2,17,20,0.264
132,DE_Balance,2030,2,21,24,0.264
133,DE_Balance,2030,3,1,4,0.232
134,DE_Balance,2030,3,5,8,0.232
135,DE_Balance,2030,3,9,12,0.232
136,DE_Balance,2030,3,13,16,0.232
137,DE_Balance,2030,3,17,20,0.232
138,DE_Balance,2030,3,21,24,0.232
139,DE_Balance,2030,4,1,4,0.184
140,DE_Balance,2030,4,5,8,0.184
141,DE_Balance,2030,4,9,12,0.184
142,DE_Balance,2030,4,13,16,0.184
143,DE_Balance,2030,4,17,20,0.184
144,DE_Balance,2030,4,21,24,0.184
145,DE_Balance,2030,5,1,4,0.41600000000000004
146,DE_Balance,2030,5,5,8,0.41600000000000004
147,DE_Balance,2030,5,9,12,0.41600000000000004
148,DE_Balance,2030,5,13,16,0.41600000000000004
149,DE_Balance,2030,5,17,20,0.41600000000000004
150,DE_Balance,2030,5,21,24,0.41600000000000004
151,DE_Balance,2030,6,1,4,0.14400000000000002
152,DE_Balance,2030,6,5,8,0.14400000000000002
153,DE_Balance,2030,6,9,12,0.14400000000000002
154,DE_Balance,2030,6,13,16,0.14400000000000002
155,DE_Balance,2030,6,17,20,0.14400000000000002
156,DE_Balance,2030,6,21,24,0.14400000000000002
157,DE_Balance,2030,7,1,4,0.296
158,DE_Balance,2030,7,5,8,0.296
159,DE_Balance,2030,7,9,12,0.296
160,DE_Balance,2030,7,13,16,0.296
161,DE_Balance,2030,7,17,20,4.884
162,DE_Balance,2030,7,21,24,0.296
163,DE_Balance,2030,8,1,4,0.248
164,DE_Balance,2030,8,5,8,0.248
165,DE_Balance,2030,8,9,12,0.248
166,DE_Balance,2030,8,13,16,0.248
167,DE_Balance,2030,8,17,20,0.248
168,DE_Balance,2030,8,21,24,0.248
169,DE_Balance,2030,9,1,4,0.34400000000000003
170,DE_Balance,2030,9,5,8,0.34400000000000003
171,DE_Balance,2030,9,9,12,0.34400000000000003
172,DE_Balance,2030,9,13,16,0.34400000000000003
173,DE_Balance,2030,9,17,20,0.34400000000000003
174,DE_Balance,2030,9,21,24,0.34400000000000003
175,DE_Balance,2030,10,1,4,9.383999999999999
176,DE_Balance,2030,10,5,8,9.383999999999999
177,DE_Balance,2030,10,9,12,9.383999999999999
178,DE_Balance,2030,10,13,16,9.383999999999999
179,DE_Balance,2030,10,17,20,71.7768285283315
180,DE_Balance,2030,10,21,24,0.368
181,FR_Balance,2030,1,1,4,0.424
182,FR_Balance,2030,1,5,8,10.812
183,FR_Balance,2030,1,9,12,10.812
184,FR_Balance,2030,1,13,16,3.7524
185,FR_Balance,2030,1,17,20,10.812
186,FR_Balance,2030,1,21,24,10.812
187,FR_Balance,2030,2,1,4,0.264
188,FR_Balance,2030,2,5,8,0.264
189,FR_Balance,2030,2,9,12,0.264
190,FR_Balance,2030,2,13,16,0.264
191,FR_Balance,2030,2,17,20,0.264
192,FR_Balance,2030,2,21,24,0.264
193,FR_Balance,2030,3,1,4,0.232
194,FR_Balance,2030,3,5,8,0.232
195,FR_Balance,2030,3,9,12,0.232
196,FR_Balance,2030,3,13,16,0.232
197,FR_Balance,2030,3,17,20,0.232
198,FR_Balance,2030,3,21,24,0.232
199,FR_Balance,2030,4,1,4,0.184
200,FR_Balance,2030,4,5,8,0.184
201,FR_Balance,2030,4,9,12,0.184
202,FR_Balance,2030,4,13,16,0.184
203,FR_Balance,2030,4,17,20,0.184
204,FR_Balance,2030,4,21,24,0.184
205,FR_Balance,2030,5,1,4,0.41600000000000004
206,FR_Balance,2030,5,5,8,0.41600000000000004
207,FR_Balance,2030,5,9,12,0.41600000000000004
208,FR_Balance,2030,5,13,16,0.41600000000000004
209,FR_Balance,2030,5,17,20,0.41600000000000004
210,FR_Balance,2030,5,21,24,0.41600000000000004
211,FR_Balance,2030,6,1,4,0.14400000000000002
212,FR_Balance,2030,6,5,8,0.14400000000000002
213,FR_Balance,2030,6,9,12,0.14400000000000002
214,FR_Balance,2030,6,13,16,0.14400000000000002
215,FR_Balance,2030,6,17,20,0.14400000000000002
216,FR_Balance,2030,6,21,24,0.14400000000000002
217,FR_Balance,2030,7,1,4,7.547999999999999
218,FR_Balance,2030,7,5,8,7.547999999999999
219,FR_Balance,2030,7,9,12,7.547999999999999
220,FR_Balance,2030,7,13,16,7.547999999999999
221,FR_Balance,2030,7,17,20,7.547999999999999
222,FR_Balance,2030,7,21,24,44.82682852833152
223,FR_Balance,2030,8,1,4,0.248
224,FR_Balance,2030,8,5,8,0.248
225,FR_Balance,2030,8,9,12,0.248
226,FR_Balance,2030,8,13,16,0.248
227,FR_Balance,2030,8,17,20,0.248
228,FR_Balance,2030,8,21,24,0.248
229,FR_Balance,2030,9,1,4,0.34400000000000003
230,FR_Balance,2030,9,5,8,0.34400000000000003
231,FR_Balance,2030,9,9,12,0.34400000000000003
232,FR_Balance,2030,9,13,16,0.34400000000000003
233,FR_Balance,2030,9,17,20,0.34400000000000003
234,FR_Balance,2030,9,21,24,0.34400000000000003
235,FR_Balance,2030,10,1,4,3.2568
236,FR_Balance,2030,10,5,8,9.383999999999999
237,FR_Balance,2030,10,9,12,9.383999999999999
238,FR_Balance,2030,10,13,16,3.2568
239,FR_Balance,2030,10,17,20,9.383999999999999
240,FR_Balance,2030,10,21,24,6.072
241,LU_Balance,2030,1,1,4,0.424
242,LU_Balance,2030,1,5,8,3.7524
243,LU_Balance,2030,1,9,12,6.996
244,LU_Balance,2030,1,13,16,3.7524
245,LU_Balance,2030,1,17,20,3.7524
246,LU_Balance,2030,1,21,24,3.7524
247,LU_Balance,2030,2,1,4,0.264
248,LU_Balance,2030,2,5,8,0.264
249,LU_Balance,2030,2,9,12,0.264
250,LU_Balance,2030,2,13,16,0.264
251,LU_Balance,2030,2,17,20,0.264
252,LU_Balance,2030,2,21,24,0.264
253,LU_Balance,2030,3,1,4,0.232
254,LU_Balance,2030,3,5,8,0.232
255,LU_Balance,2030,3,9,12,0.232
256,LU_Balance,2030,3,13,16,0.232
257,LU_Balance,2030,3,17,20,0.232
258,LU_Balance,2030,3,21,24,0.232
259,LU_Balance,2030,4,1,4,0.184
260,LU_Balance,2030,4,5,8,0.184
261,LU_Balance,2030,4,9,12,0.184
262,LU_Balance,2030,4,13,16,0.184
263,LU_Balance,2030,4,17,20,0.184
264,LU_Balance,2030,4,21,24,0.184
265,LU_Balance,2030,5,1,4,0.41600000000000004
266,LU_Balance,2030,5,5,8,0.41600000000000004
267,LU_Balance,2030,5,9,12,0.41600000000000004
268,LU_Balance,2030,5,13,16,0.41600000000000004
269,LU_Balance,2030,5,17,20,0.41600000000000004
270,LU_Balance,2030,5,21,24,0.41600000000000004
271,LU_Balance,2030,6,1,4,0.14400000000000002
272,LU_Balance,2030,6,5,8,0.14400000000000002
273,LU_Balance,2030,6,9,12,0.14400000000000002
274,LU_Balance,2030,6,13,16,0.14400000000000002
275,LU_Balance,2030,6,17,20,0.14400000000000002
276,LU_Balance,2030,6,21,24,0.14400000000000002
277,LU_Balance,2030,7,1,4,2.6196
278,LU_Balance,2030,7,5,8,2.6196
279,LU_Balance,2030,7,9,12,2.6196
280,LU_Balance,2030,7,13,16,2.6196
281,LU_Balance,2030,7,17,20,4.884
282,LU_Balance,2030,7,21,24,2.6196
283,LU_Balance,2030,8,1,4,0.248
284,LU_Balance,2030,8,5,8,0.248
285,LU_Balance,2030,8,9,12,0.248
286,LU_Balance,2030,8,13,16,0.248
287,LU_Balance,2030,8,17,20,0.248
288,LU_Balance,2030,8,21,24,0.248
289,LU_Balance,2030,9,1,4,0.34400000000000003
290,LU_Balance,2030,9,5,8,0.34400000000000003
