id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
111,BE_OCGT,2030,9,9,12,0.0
112,BE_OCGT,2030,9,13,16,0.0
113,BE_OCGT,2030,9,17,20,0.0
114,BE_OCGT,2030,9,21,24,0.0
115,BE_OCGT,2030,10,1,4,0.0
116,BE_OCGT,2030,10,5,8,0.0
117,BE_OCGT,2030,10,9,12,0.0
118,BE_OCGT,2030,10,13,16,0.0
119,BE_OCGT,2030,10,17,20,0.0
120,BE_OCGT,2030,10,21,24,0.0
121,CH_CCGT,2030,1,1,4,0.0
122,CH_CCGT,2030,1,5,8,0.0
123,CH_CCGT,2030,1,9,12,0.0
124,CH_CCGT,2030,1,13,16,0.0
125,CH_CCGT,2030,1,17,20,0.0
126,CH_CCGT,2030,1,21,24,0.0
127,CH_CCGT,2030,2,1,4,0.0
128,CH_CCGT,2030,2,5,8,0.0
129,CH_CCGT,2030,2,9,12,0.0
130,CH_CCGT,2030,2,13,16,0.0
131,CH_CCGT,2030,2,17,20,0.0
132,CH_CCGT,2030,2,21,24,0.0
133,CH_CCGT,2030,3,1,4,0.0
134,CH_CCGT,2030,3,5,8,0.0
135,CH_CCGT,2030,3,9,12,0.0
136,CH_CCGT,2030,3,13,16,0.0
137,CH_CCGT,2030,3,17,20,0.0
138,CH_CCGT,2030,3,21,24,0.0
139,CH_CCGT,2030,4,1,4,0.0
140,CH_CCGT,2030,4,5,8,0.0
141,CH_CCGT,2030,4,9,12,0.0
142,CH_CCGT,2030,4,13,16,0.0
143,CH_CCGT,2030,4,17,20,0.0
144,CH_CCGT,2030,4,21,24,0.0
145,CH_CCGT,2030,5,1,4,0.0
146,CH_CCGT,2030,5,5,8,0.0
147,CH_CCGT,2030,5,9,12,0.0
148,CH_CCGT,2030,5,13,16,0.0
149,CH_CCGT,2030,5,17,20,0.0
150,CH_CCGT,2030,5,21,24,0.0
151,CH_CCGT,2030,6,1,4,0.0
152,CH_CCGT,2030,6,5,8,0.0
153,CH_CCGT,2030,6,9,12,0.0
154,CH_CCGT,2030,6,13,16,0.0
155,CH_CCGT,2030,6,17,20,0.0
156,CH_CCGT,2030,6,21,24,0.0
157,CH_CCGT,2030,7,1,4,0.0
158,CH_CCGT,2030,7,5,8,0.0
159,CH_CCGT,2030,7,9,12,0.0
160,CH_CCGT,2030,7,13,16,0.0
161,CH_CCGT,2030,7,17,20,0.0
162,CH_CCGT,2030,7,21,24,0.0
163,CH_CCGT,2030,8,1,4,0.0
164,CH_CCGT,2030,8,5,8,0.0
165,CH_CCGT,2030,8,9,12,0.0
166,CH_CCGT,2030,8,13,16,0.0
167,CH_CCGT,2030,8,17,20,0.0
168,CH_CCGT,2030,8,21,24,0.0
169,CH_CCGT,2030,9,1,4,0.0
170,CH_CCGT,2030,9,5,8,0.0
171,CH_CCGT,2030,9,9,12,0.0
172,CH_CCGT,2030,9,13,16,0.0
173,CH_CCGT,2030,9,17,20,0.0
174,CH_CCGT,2030,9,21,24,0.0
175,CH_CCGT,2030,10,1,4,0.0
176,CH_CCGT,2030,10,5,8,0.0
177,CH_CCGT,2030,10,9,12,0.0
178,CH_CCGT,2030,10,13,16,0.0
179,CH_CCGT,2030,10,17,20,0.0
180,CH_CCGT,2030,10,21,24,0.0
181,CH_OCGT,2030,1,1,4,0.0
182,CH_OCGT,2030,1,5,8,0.0
183,CH_OCGT,2030,1,9,12,0.0
184,CH_OCGT,2030,1,13,16,0.0
185,CH_OCGT,2030,1,17,20,0.0
186,CH_OCGT,2030,1,21,24,0.0
187,CH_OCGT,2030,2,1,4,0.0
188,CH_OCGT,2030,2,5,8,0.0
189,CH_OCGT,2030,2,9,12,0.0
190,CH_OCGT,2030,2,13,16,0.0
191,CH_OCGT,2030,2,17,20,0.0
