id,asset,year,rep_period,time_block_start,time_block_end,dual_su_sd_eq_units_on_diff
1,BE_Coal,2030,1,1,4,0.0
2,BE_Coal,2030,1,5,8,0.0
3,BE_Coal,2030,1,9,12,0.0
4,BE_Coal,2030,1,13,16,0.0
5,BE_Coal,2030,1,17,20,0.0
6,BE_Coal,2030,1,21,24,0.0
7,BE_Coal,2030,2,1,4,0.0
8,BE_Coal,2030,2,5,8,0.0
9,BE_Coal,2030,2,9,12,0.0
10,BE_Coal,2030,2,13,16,0.0
11,BE_Coal,2030,2,17,20,0.0
12,BE_Coal,2030,2,21,24,0.0
13,BE_Coal,2030,3,1,4,0.0
14,BE_Coal,2030,3,5,8,0.0
15,BE_Coal,2030,3,9,12,0.0
16,BE_Coal,2030,3,13,16,0.0
17,BE_Coal,2030,3,17,20,0.0
18,BE_Coal,2030,3,21,24,0.0
19,BE_Coal,2030,4,1,4,0.0
20,BE_Coal,2030,4,5,8,0.0
21,BE_Coal,2030,4,9,12,0.0
22,BE_Coal,2030,4,13,16,0.0
23,BE_Coal,2030,4,17,20,0.0
24,BE_Coal,2030,4,21,24,0.0
25,BE_Coal,2030,5,1,4,0.0
26,BE_Coal,2030,5,5,8,0.0
27,BE_Coal,2030,5,9,12,0.0
28,BE_Coal,2030,5,13,16,0.0
29,BE_Coal,2030,5,17,20,0.0
30,BE_Coal,2030,5,21,24,0.0
31,BE_Coal,2030,6,1,4,0.0
32,BE_Coal,2030,6,5,8,0.0
33,BE_Coal,2030,6,9,12,0.0
34,BE_Coal,2030,6,13,16,0.0
35,BE_Coal,2030,6,17,20,0.0
36,BE_Coal,2030,6,21,24,0.0
37,BE_Coal,2030,7,1,4,0.0
38,BE_Coal,2030,7,5,8,0.0
39,BE_Coal,2030,7,9,12,0.0
40,BE_Coal,2030,7,13,16,0.0
41,BE_Coal,2030,7,17,20,0.0
42,BE_Coal,2030,7,21,24,0.0
43,BE_Coal,2030,8,1,4,0.0
44,BE_Coal,2030,8,5,8,0.0
45,BE_Coal,2030,8,9,12,0.0
46,BE_Coal,2030,8,13,16,0.0
47,BE_Coal,2030,8,17,20,0.0
48,BE_Coal,2030,8,21,24,0.0
49,BE_Coal,2030,9,1,4,0.0
50,BE_Coal,2030,9,5,8,0.0
51,BE_Coal,2030,9,9,12,0.0
52,BE_Coal,2030,9,13,16,0.0
53,BE_Coal,2030,9,17,20,0.0
54,BE_Coal,2030,9,21,24,0.0
55,BE_Coal,2030,10,1,4,0.0
56,BE_Coal,2030,10,5,8,0.0
57,BE_Coal,2030,10,9,12,0.0
58,BE_Coal,2030,10,13,16,0.0
59,BE_Coal,2030,10,17,20,0.0
