id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,BE_E_Demand,2030,1,1,4,3.7524
2,BE_E_Demand,2030,1,5,8,6.996
3,BE_E_Demand,2030,1,9,12,6.996
4,BE_E_Demand,2030,1,13,16,3.7524
5,BE_E_Demand,2030,1,17,20,3.7524
6,BE_E_Demand,2030,1,21,24,3.7524
7,BE_E_Demand,2030,2,1,4,0.264
8,BE_E_Demand,2030,2,5,8,2.3364000000000003
9,BE_E_Demand,2030,2,9,12,2.3364000000000003
10,BE_E_Demand,2030,2,13,16,2.3364000000000003
11,BE_E_Demand,2030,2,17,20,2.3364000000000003
12,BE_E_Demand,2030,2,21,24,2.3364000000000003
13,BE_E_Demand,2030,3,1,4,0.232
14,BE_E_Demand,2030,3,5,8,0.232
15,BE_E_Demand,2030,3,9,12,0.232
16,BE_E_Demand,2030,3,13,16,0.232
17,BE_E_Demand,2030,3,17,20,2.0532
18,BE_E_Demand,2030,3,21,24,0.232
19,BE_E_Demand,2030,4,1,4,0.184
20,BE_E_Demand,2030,4,5,8,1.6284
21,BE_E_Demand,2030,4,9,12,1.6284
22,BE_E_Demand,2030,4,13,16,0.184
23,BE_E_Demand,2030,4,17,20,1.6284
24,BE_E_Demand,2030,4,21,24,1.6284
25,BE_E_Demand,2030,5,1,4,0.41600000000000004
26,BE_E_Demand,2030,5,5,8,0.41600000000000004
27,BE_E_Demand,2030,5,9,12,0.41600000000000004
28,BE_E_Demand,2030,5,13,16,0.41600000000000004
29,BE_E_Demand,2030,5,17,20,0.41600000000000004
30,BE_E_Demand,2030,5,21,24,0.41600000000000004
31,BE_E_Demand,2030,6,1,4,1.2744
32,BE_E_Demand,2030,6,5,8,1.2744
33,BE_E_Demand,2030,6,9,12,1.2744
34,BE_E_Demand,2030,6,13,16,1.2744
35,BE_E_Demand,2030,6,17,20,1.2744
36,BE_E_Demand,2030,6,21,24,1.2744
37,BE_E_Demand,2030,7,1,4,2.6196
38,BE_E_Demand,2030,7,5,8,7.547999999999999
39,BE_E_Demand,2030,7,9,12,7.547999999999999
40,BE_E_Demand,2030,7,13,16,4.884
41,BE_E_Demand,2030,7,17,20,7.547999999999999
42,BE_E_Demand,2030,7,21,24,4.884
43,BE_E_Demand,2030,8,1,4,0.248
44,BE_E_Demand,2030,8,5,8,0.248
45,BE_E_Demand,2030,8,9,12,0.248
46,BE_E_Demand,2030,8,13,16,0.248
47,BE_E_Demand,2030,8,17,20,0.248
48,BE_E_Demand,2030,8,21,24,0.248
49,BE_E_Demand,2030,9,1,4,0.34400000000000003
50,BE_E_Demand,2030,9,5,8,0.34400000000000003
51,BE_E_Demand,2030,9,9,12,0.34400000000000003
52,BE_E_Demand,2030,9,13,16,0.34400000000000003
53,BE_E_Demand,2030,9,17,20,3.0444
54,BE_E_Demand,2030,9,21,24,3.0444
55,BE_E_Demand,2030,10,1,4,3.2568
56,BE_E_Demand,2030,10,5,8,6.072
57,BE_E_Demand,2030,10,9,12,9.383999999999999
58,BE_E_Demand,2030,10,13,16,6.072
59,BE_E_Demand,2030,10,17,20,9.383999999999999
60,BE_E_Demand,2030,10,21,24,6.072
61,CH_E_Demand,2030,1,1,4,3.7524
62,CH_E_Demand,2030,1,5,8,6.996
63,CH_E_Demand,2030,1,9,12,3.7524
64,CH_E_Demand,2030,1,13,16,3.7524
65,CH_E_Demand,2030,1,17,20,3.7524
66,CH_E_Demand,2030,1,21,24,3.7524
67,CH_E_Demand,2030,2,1,4,2.3364000000000003
68,CH_E_Demand,2030,2,5,8,2.3364000000000003
69,CH_E_Demand,2030,2,9,12,2.3364000000000003
70,CH_E_Demand,2030,2,13,16,2.3364000000000003
71,CH_E_Demand,2030,2,17,20,2.3364000000000003
72,CH_E_Demand,2030,2,21,24,2.3364000000000003
73,CH_E_Demand,2030,3,1,4,2.0532
74,CH_E_Demand,2030,3,5,8,32.63122852833151
