id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,UK_Balance,2030,1,1,4,349,0.0,3.3284000000000002
2,NL_Balance,UK_Balance,2030,1,5,8,350,0.0,6.572
3,NL_Balance,UK_Balance,2030,1,9,12,351,0.0,0.0
4,NL_Balance,UK_Balance,2030,1,13,16,352,0.0,-0.0
5,NL_Balance,UK_Balance,2030,1,17,20,353,0.0,-0.0
6,NL_Balance,UK_Balance,2030,1,21,24,354,0.0,3.3284000000000002
7,NL_Balance,DE_Balance,2030,1,1,4,355,0.0,-0.0
8,NL_Balance,DE_Balance,2030,1,5,8,356,0.0,0.0
9,NL_Balance,DE_Balance,2030,1,9,12,357,0.0,-0.0
10,NL_Balance,DE_Balance,2030,1,13,16,358,0.0,-0.0
11,NL_Balance,DE_Balance,2030,1,17,20,359,0.0,-0.0
12,NL_Balance,DE_Balance,2030,1,21,24,360,0.0,0.0
13,NL_Balance,BE_Balance,2030,1,1,4,361,0.0,0.0
14,NL_Balance,BE_Balance,2030,1,5,8,362,0.0,0.0
15,NL_Balance,BE_Balance,2030,1,9,12,363,0.0,0.0
16,NL_Balance,BE_Balance,2030,1,13,16,364,0.0,0.0
17,NL_Balance,BE_Balance,2030,1,17,20,365,0.0,0.0
18,NL_Balance,BE_Balance,2030,1,21,24,366,0.0,0.0
19,BE_Balance,UK_Balance,2030,1,1,4,367,0.0,3.3284000000000002
20,BE_Balance,UK_Balance,2030,1,5,8,368,0.0,6.572
21,BE_Balance,UK_Balance,2030,1,9,12,369,0.0,0.0
22,BE_Balance,UK_Balance,2030,1,13,16,370,0.0,0.0
23,BE_Balance,UK_Balance,2030,1,17,20,371,0.0,-0.0
24,BE_Balance,UK_Balance,2030,1,21,24,372,0.0,3.3284000000000002
25,BE_Balance,FR_Balance,2030,1,1,4,373,0.0,0.0
26,BE_Balance,FR_Balance,2030,1,5,8,374,0.0,-0.0
27,BE_Balance,FR_Balance,2030,1,9,12,375,0.0,0.0
28,BE_Balance,FR_Balance,2030,1,13,16,376,0.0,0.0
