id,asset,year,rep_period,time_block_start,time_block_end,solution
1,BE_Battery,2030,1,1,1,0.0
2,BE_Battery,2030,1,2,2,0.0
3,BE_Battery,2030,1,3,3,883.1309183480298
4,BE_Battery,2030,1,4,4,883.1309183480298
5,BE_Battery,2030,1,5,5,883.1309183480298
6,BE_Battery,2030,1,6,6,883.1309183480298
7,BE_Battery,2030,1,7,7,0.0
8,BE_Battery,2030,1,8,8,557.8177499577769
9,BE_Battery,2030,1,9,9,0.0
10,BE_Battery,2030,1,10,10,0.0
11,BE_Battery,2030,1,11,11,483.95581046079224
12,BE_Battery,2030,1,12,12,0.0
13,BE_Battery,2030,1,13,13,0.0
14,BE_Battery,2030,1,14,14,0.0
15,BE_Battery,2030,1,15,15,0.0
16,BE_Battery,2030,1,16,16,883.1309183480298
17,BE_Battery,2030,1,17,17,883.1309183480298
18,BE_Battery,2030,1,18,18,691.9901709795308
19,BE_Battery,2030,1,19,19,788.599633157277
20,BE_Battery,2030,1,20,20,199.94579337870437
21,BE_Battery,2030,1,21,21,0.0
22,BE_Battery,2030,1,22,22,0.0
23,BE_Battery,2030,1,23,23,0.0
24,BE_Battery,2030,1,24,24,0.0
25,BE_Battery,2030,2,1,1,883.1309183480298
26,BE_Battery,2030,2,2,2,883.1309183480298
27,BE_Battery,2030,2,3,3,883.1309183480298
28,BE_Battery,2030,2,4,4,883.1309183480298
29,BE_Battery,2030,2,5,5,883.1309183480298
30,BE_Battery,2030,2,6,6,883.1309183480298
31,BE_Battery,2030,2,7,7,883.1309183480298
32,BE_Battery,2030,2,8,8,445.2547908633072
33,BE_Battery,2030,2,9,9,0.0
34,BE_Battery,2030,2,10,10,0.0
35,BE_Battery,2030,2,11,11,0.0
36,BE_Battery,2030,2,12,12,0.0
37,BE_Battery,2030,2,13,13,0.0
38,BE_Battery,2030,2,14,14,582.3464786403733
39,BE_Battery,2030,2,15,15,883.1309183480298
40,BE_Battery,2030,2,16,16,883.1309183480298
41,BE_Battery,2030,2,17,17,883.1309183480298
42,BE_Battery,2030,2,18,18,883.1309183480298
43,BE_Battery,2030,2,19,19,0.0
44,BE_Battery,2030,2,20,20,0.0
45,BE_Battery,2030,2,21,21,0.0
46,BE_Battery,2030,2,22,22,0.0
47,BE_Battery,2030,2,23,23,0.0
48,BE_Battery,2030,2,24,24,0.0
49,BE_Battery,2030,3,1,1,0.0
50,BE_Battery,2030,3,2,2,0.0
51,BE_Battery,2030,3,3,3,0.0
52,BE_Battery,2030,3,4,4,0.0
53,BE_Battery,2030,3,5,5,0.0
54,BE_Battery,2030,3,6,6,0.0
55,BE_Battery,2030,3,7,7,0.0
56,BE_Battery,2030,3,8,8,0.0
57,BE_Battery,2030,3,9,9,0.0
58,BE_Battery,2030,3,10,10,883.1309183480298
59,BE_Battery,2030,3,11,11,883.1309183480298
60,BE_Battery,2030,3,12,12,883.1309183480298
61,BE_Battery,2030,3,13,13,883.1309183480298
62,BE_Battery,2030,3,14,14,883.1309183480298
63,BE_Battery,2030,3,15,15,883.1309183480298
64,BE_Battery,2030,3,16,16,883.1309183480298
65,BE_Battery,2030,3,17,17,883.1309183480298
66,BE_Battery,2030,3,18,18,883.1309183480298
67,BE_Battery,2030,3,19,19,883.1309183480298
68,BE_Battery,2030,3,20,20,883.1309183480298
69,BE_Battery,2030,3,21,21,0.0
70,BE_Battery,2030,3,22,22,0.0
71,BE_Battery,2030,3,23,23,0.0
72,BE_Battery,2030,3,24,24,0.0
73,BE_Battery,2030,4,1,1,0.0
74,BE_Battery,2030,4,2,2,0.0
75,BE_Battery,2030,4,3,3,0.0
76,BE_Battery,2030,4,4,4,552.3509413002012
77,BE_Battery,2030,4,5,5,552.3509413002012
78,BE_Battery,2030,4,6,6,883.1309183480298
79,BE_Battery,2030,4,7,7,0.0
80,BE_Battery,2030,4,8,8,0.0
81,BE_Battery,2030,4,9,9,0.0
82,BE_Battery,2030,4,10,10,0.0
83,BE_Battery,2030,4,11,11,0.0
84,BE_Battery,2030,4,12,12,0.0
85,BE_Battery,2030,4,13,13,883.1309183480298
86,BE_Battery,2030,4,14,14,883.1309183480298
87,BE_Battery,2030,4,15,15,883.1309183480298
88,BE_Battery,2030,4,16,16,883.1309183480298
89,BE_Battery,2030,4,17,17,883.1309183480298
90,BE_Battery,2030,4,18,18,883.1309183480298
91,BE_Battery,2030,4,19,19,0.0
92,BE_Battery,2030,4,20,20,782.4428658883778
93,BE_Battery,2030,4,21,21,782.4428658883778
94,BE_Battery,2030,4,22,22,0.0
95,BE_Battery,2030,4,23,23,0.0
96,BE_Battery,2030,4,24,24,0.0
97,BE_Battery,2030,5,1,1,0.0
98,BE_Battery,2030,5,2,2,0.0
99,BE_Battery,2030,5,3,3,0.0
100,BE_Battery,2030,5,4,4,0.0
101,BE_Battery,2030,5,5,5,0.0
102,BE_Battery,2030,5,6,6,0.0
103,BE_Battery,2030,5,7,7,0.0
104,BE_Battery,2030,5,8,8,0.0
105,BE_Battery,2030,5,9,9,0.0
106,BE_Battery,2030,5,10,10,0.0
107,BE_Battery,2030,5,11,11,0.0
108,BE_Battery,2030,5,12,12,0.0
109,BE_Battery,2030,5,13,13,0.0
110,BE_Battery,2030,5,14,14,0.0
111,BE_Battery,2030,5,15,15,0.0
112,BE_Battery,2030,5,16,16,0.0
113,BE_Battery,2030,5,17,17,0.0
114,BE_Battery,2030,5,18,18,0.0
115,BE_Battery,2030,5,19,19,0.0
116,BE_Battery,2030,5,20,20,0.0
117,BE_Battery,2030,5,21,21,0.0
118,BE_Battery,2030,5,22,22,0.0
119,BE_Battery,2030,5,23,23,0.0
120,BE_Battery,2030,5,24,24,0.0
