id,asset,year,rep_period,time_block_start,time_block_end,dual_start_up_upper_bound
1,BE_Coal,2030,1,1,3,0.0
2,BE_Coal,2030,1,4,6,0.0
3,BE_Coal,2030,1,7,9,0.0
4,BE_Coal,2030,1,10,12,0.0
5,BE_Coal,2030,1,13,15,0.0
6,BE_Coal,2030,1,16,18,0.0
7,BE_Coal,2030,1,19,21,0.0
8,BE_Coal,2030,1,22,24,0.0
9,BE_Coal,2030,2,1,3,0.0
10,BE_Coal,2030,2,4,6,0.0
11,BE_Coal,2030,2,7,9,0.0
12,BE_Coal,2030,2,10,12,0.0
13,BE_Coal,2030,2,13,15,0.0
14,BE_Coal,2030,2,16,18,0.0
15,BE_Coal,2030,2,19,21,0.0
16,BE_Coal,2030,2,22,24,0.0
17,BE_Coal,2030,3,1,3,0.0
18,BE_Coal,2030,3,4,6,0.0
19,BE_Coal,2030,3,7,9,0.0
20,BE_Coal,2030,3,10,12,0.0
21,BE_Coal,2030,3,13,15,0.0
22,BE_Coal,2030,3,16,18,0.0
23,BE_Coal,2030,3,19,21,0.0
24,BE_Coal,2030,3,22,24,0.0
25,BE_Coal,2030,4,1,3,0.0
26,BE_Coal,2030,4,4,6,0.0
27,BE_Coal,2030,4,7,9,0.0
28,BE_Coal,2030,4,10,12,0.0
29,BE_Coal,2030,4,13,15,0.0
30,BE_Coal,2030,4,16,18,0.0
31,BE_Coal,2030,4,19,21,0.0
32,BE_Coal,2030,4,22,24,0.0
33,BE_Coal,2030,5,1,3,0.0
34,BE_Coal,2030,5,4,6,0.0
35,BE_Coal,2030,5,7,9,0.0
36,BE_Coal,2030,5,10,12,0.0
37,BE_Coal,2030,5,13,15,0.0
38,BE_Coal,2030,5,16,18,0.0
39,BE_Coal,2030,5,19,21,0.0
40,BE_Coal,2030,5,22,24,0.0
41,BE_Coal,2030,6,1,3,0.0
42,BE_Coal,2030,6,4,6,0.0
43,BE_Coal,2030,6,7,9,0.0
44,BE_Coal,2030,6,10,12,0.0
45,BE_Coal,2030,6,13,15,0.0
46,BE_Coal,2030,6,16,18,0.0
47,BE_Coal,2030,6,19,21,0.0
48,BE_Coal,2030,6,22,24,0.0
49,BE_Coal,2030,7,1,3,0.0
50,BE_Coal,2030,7,4,6,0.0
51,BE_Coal,2030,7,7,9,0.0
52,BE_Coal,2030,7,10,12,0.0
53,BE_Coal,2030,7,13,15,0.0
54,BE_Coal,2030,7,16,18,0.0
55,BE_Coal,2030,7,19,21,0.0
56,BE_Coal,2030,7,22,24,0.0
57,BE_Coal,2030,8,1,3,0.0
58,BE_Coal,2030,8,4,6,0.0
59,BE_Coal,2030,8,7,9,0.0
60,BE_Coal,2030,8,10,12,0.0
61,BE_Coal,2030,8,13,15,0.0
62,BE_Coal,2030,8,16,18,0.0
63,BE_Coal,2030,8,19,21,0.0
64,BE_Coal,2030,8,22,24,0.0
65,BE_Coal,2030,9,1,3,0.0
66,BE_Coal,2030,9,4,6,0.0
67,BE_Coal,2030,9,7,9,0.0
68,BE_Coal,2030,9,10,12,0.0
69,BE_Coal,2030,9,13,15,0.0
70,BE_Coal,2030,9,16,18,0.0
71,BE_Coal,2030,9,19,21,0.0
72,BE_Coal,2030,9,22,24,0.0
73,BE_Coal,2030,10,1,3,0.0
74,BE_Coal,2030,10,4,6,0.0
75,BE_Coal,2030,10,7,9,0.0
76,BE_Coal,2030,10,10,12,0.0
77,BE_Coal,2030,10,13,15,0.0
78,BE_Coal,2030,10,16,18,0.0
79,BE_Coal,2030,10,19,21,0.0
80,BE_Coal,2030,10,22,24,0.0
81,BE_Nuclear,2030,1,1,2,0.0
82,BE_Nuclear,2030,1,5,6,0.0
83,BE_Nuclear,2030,1,9,10,0.0
84,BE_Nuclear,2030,1,13,14,0.0
85,BE_Nuclear,2030,1,17,18,0.0
86,BE_Nuclear,2030,1,21,22,0.0
87,BE_Nuclear,2030,2,1,2,0.0
88,BE_Nuclear,2030,2,5,6,0.0
89,BE_Nuclear,2030,2,9,10,0.0
90,BE_Nuclear,2030,2,13,14,0.0
91,BE_Nuclear,2030,2,17,18,0.0
92,BE_Nuclear,2030,2,21,22,0.0
93,BE_Nuclear,2030,3,1,2,0.0
94,BE_Nuclear,2030,3,5,6,0.0
95,BE_Nuclear,2030,3,9,10,0.0
96,BE_Nuclear,2030,3,13,14,0.0
97,BE_Nuclear,2030,3,17,18,0.0
98,BE_Nuclear,2030,3,21,22,0.0
99,BE_Nuclear,2030,4,1,2,0.0
100,BE_Nuclear,2030,4,5,6,0.0
101,BE_Nuclear,2030,4,9,10,0.0
102,BE_Nuclear,2030,4,13,14,0.0
103,BE_Nuclear,2030,4,17,18,0.0
104,BE_Nuclear,2030,4,21,22,0.0
105,BE_Nuclear,2030,5,1,2,0.0
106,BE_Nuclear,2030,5,5,6,0.0
107,BE_Nuclear,2030,5,9,10,0.0
108,BE_Nuclear,2030,5,13,14,0.0
109,BE_Nuclear,2030,5,17,18,0.0
110,BE_Nuclear,2030,5,21,22,0.0
111,BE_Nuclear,2030,6,1,2,0.0
112,BE_Nuclear,2030,6,5,6,0.0
113,BE_Nuclear,2030,6,9,10,0.0
114,BE_Nuclear,2030,6,13,14,0.0
115,BE_Nuclear,2030,6,17,18,0.0
116,BE_Nuclear,2030,6,21,22,0.0
117,BE_Nuclear,2030,7,1,2,0.0
118,BE_Nuclear,2030,7,5,6,0.0
119,BE_Nuclear,2030,7,9,10,0.0
120,BE_Nuclear,2030,7,13,14,0.0
121,BE_Nuclear,2030,7,17,18,0.0
122,BE_Nuclear,2030,7,21,22,0.0
123,BE_Nuclear,2030,8,1,2,0.0
124,BE_Nuclear,2030,8,5,6,0.0
125,BE_Nuclear,2030,8,9,10,0.0
126,BE_Nuclear,2030,8,13,14,0.0
127,BE_Nuclear,2030,8,17,18,0.0
128,BE_Nuclear,2030,8,21,22,0.0
129,BE_Nuclear,2030,9,1,2,0.0
130,BE_Nuclear,2030,9,5,6,0.0
131,BE_Nuclear,2030,9,9,10,0.0
132,BE_Nuclear,2030,9,13,14,0.0
133,BE_Nuclear,2030,9,17,18,0.0
134,BE_Nuclear,2030,9,21,22,0.0
135,BE_Nuclear,2030,10,1,2,0.0
136,BE_Nuclear,2030,10,5,6,0.0
137,BE_Nuclear,2030,10,9,10,0.0
138,BE_Nuclear,2030,10,13,14,0.0
139,BE_Nuclear,2030,10,17,18,0.0
140,BE_Nuclear,2030,10,21,22,0.0
141,CH_Coal,2030,1,1,3,0.0
142,CH_Coal,2030,1,4,6,0.0
143,CH_Coal,2030,1,7,9,0.0
144,CH_Coal,2030,1,10,12,0.0
145,CH_Coal,2030,1,13,15,0.0
146,CH_Coal,2030,1,16,18,0.0
147,CH_Coal,2030,1,19,21,0.0
148,CH_Coal,2030,1,22,24,0.0
149,CH_Coal,2030,2,1,3,0.0
150,CH_Coal,2030,2,4,6,0.0
151,CH_Coal,2030,2,7,9,0.0
152,CH_Coal,2030,2,10,12,0.0
153,CH_Coal,2030,2,13,15,0.0
154,CH_Coal,2030,2,16,18,0.0
155,CH_Coal,2030,2,19,21,0.0
156,CH_Coal,2030,2,22,24,0.0
157,CH_Coal,2030,3,1,3,0.0
158,CH_Coal,2030,3,4,6,0.0
159,CH_Coal,2030,3,7,9,0.0
160,CH_Coal,2030,3,10,12,0.0
161,CH_Coal,2030,3,13,15,0.0
162,CH_Coal,2030,3,16,18,0.0
163,CH_Coal,2030,3,19,21,0.0
164,CH_Coal,2030,3,22,24,0.0
165,CH_Coal,2030,4,1,3,0.0
166,CH_Coal,2030,4,4,6,0.0
167,CH_Coal,2030,4,7,9,0.0
