id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
134,BE_Balance,2030,9,9,9,0.0
135,BE_Balance,2030,9,10,10,0.17200000000000001
136,BE_Balance,2030,9,11,12,0.17200000000000001
137,BE_Balance,2030,9,13,14,0.17200000000000001
138,BE_Balance,2030,9,15,15,0.17200000000000001
139,BE_Balance,2030,9,16,16,0.0
140,BE_Balance,2030,9,17,18,0.17200000000000001
141,BE_Balance,2030,9,19,20,0.8643000000000001
142,BE_Balance,2030,9,21,21,0.0
143,BE_Balance,2030,9,22,22,2.838
144,BE_Balance,2030,9,23,24,0.17200000000000001
145,BE_Balance,2030,10,1,2,3.036
146,BE_Balance,2030,10,3,3,0.0
147,BE_Balance,2030,10,4,4,3.036
148,BE_Balance,2030,10,5,6,3.036
149,BE_Balance,2030,10,7,8,4.691999999999999
150,BE_Balance,2030,10,9,9,0.0
151,BE_Balance,2030,10,10,10,4.691999999999999
152,BE_Balance,2030,10,11,12,4.691999999999999
153,BE_Balance,2030,10,13,14,4.691999999999999
154,BE_Balance,2030,10,15,15,0.0
155,BE_Balance,2030,10,16,16,4.691999999999999
156,BE_Balance,2030,10,17,18,10.068199999999992
157,BE_Balance,2030,10,19,20,4.691999999999999
158,BE_Balance,2030,10,21,21,0.0
159,BE_Balance,2030,10,22,22,3.036
160,BE_Balance,2030,10,23,24,3.036
161,CH_Balance,2030,1,1,2,1.0653000000000001
162,CH_Balance,2030,1,3,3,3.498
163,CH_Balance,2030,1,4,4,0.0
164,CH_Balance,2030,1,5,6,3.498
165,CH_Balance,2030,1,7,8,3.498
166,CH_Balance,2030,1,9,9,0.0
167,CH_Balance,2030,1,10,10,3.498
168,CH_Balance,2030,1,11,12,0.8904
169,CH_Balance,2030,1,13,14,0.8904
170,CH_Balance,2030,1,15,15,0.0
171,CH_Balance,2030,1,16,16,0.8904
172,CH_Balance,2030,1,17,18,0.8904
173,CH_Balance,2030,1,19,20,3.498
174,CH_Balance,2030,1,21,21,0.0
175,CH_Balance,2030,1,22,22,3.498
176,CH_Balance,2030,1,23,24,0.8904
177,CH_Balance,2030,2,1,2,0.132
178,CH_Balance,2030,2,3,3,0.0
179,CH_Balance,2030,2,4,4,0.132
180,CH_Balance,2030,2,5,6,0.132
181,CH_Balance,2030,2,7,8,0.132
182,CH_Balance,2030,2,9,9,0.0
183,CH_Balance,2030,2,10,10,0.132
184,CH_Balance,2030,2,11,12,0.132
185,CH_Balance,2030,2,13,14,0.132
186,CH_Balance,2030,2,15,15,0.132
187,CH_Balance,2030,2,16,16,0.0
188,CH_Balance,2030,2,17,18,0.5544
189,CH_Balance,2030,2,19,20,2.178
190,CH_Balance,2030,2,21,21,0.0
191,CH_Balance,2030,2,22,22,1.1945999999999999
192,CH_Balance,2030,2,23,24,0.5544
193,CH_Balance,2030,3,1,2,1.0497999999999998
194,CH_Balance,2030,3,3,3,0.0
195,CH_Balance,2030,3,4,4,1.0497999999999998
196,CH_Balance,2030,3,5,6,1.0497999999999998
197,CH_Balance,2030,3,7,8,1.0497999999999998
198,CH_Balance,2030,3,9,9,0.0
199,CH_Balance,2030,3,10,10,1.0497999999999998
200,CH_Balance,2030,3,11,12,1.0497999999999998
201,CH_Balance,2030,3,13,14,1.0497999999999998
202,CH_Balance,2030,3,15,15,1.0497999999999998
203,CH_Balance,2030,3,16,16,0.0
204,CH_Balance,2030,3,17,18,23.249231411332605
205,CH_Balance,2030,3,19,20,23.249231411332605
206,CH_Balance,2030,3,21,21,0.0
207,CH_Balance,2030,3,22,22,23.249231411332605
208,CH_Balance,2030,3,23,24,1.9140000000000001
209,CH_Balance,2030,4,1,2,0.38639999999999997
210,CH_Balance,2030,4,3,3,0.38639999999999997
211,CH_Balance,2030,4,4,4,0.0
212,CH_Balance,2030,4,5,6,0.38639999999999997
213,CH_Balance,2030,4,7,8,0.38639999999999997
214,CH_Balance,2030,4,9,9,0.38639999999999997
215,CH_Balance,2030,4,10,10,0.0
216,CH_Balance,2030,4,11,12,0.38639999999999997
217,CH_Balance,2030,4,13,14,0.38639999999999997
218,CH_Balance,2030,4,15,15,0.0
219,CH_Balance,2030,4,16,16,0.38639999999999997
220,CH_Balance,2030,4,17,18,0.38639999999999997
221,CH_Balance,2030,4,19,20,0.38639999999999997
222,CH_Balance,2030,4,21,21,0.38639999999999997
223,CH_Balance,2030,4,22,22,0.0
224,CH_Balance,2030,4,23,24,0.38639999999999997
225,CH_Balance,2030,5,1,2,0.20800000000000002
226,CH_Balance,2030,5,3,3,0.0
227,CH_Balance,2030,5,4,4,0.20800000000000002
228,CH_Balance,2030,5,5,6,0.20800000000000002
229,CH_Balance,2030,5,7,8,0.20800000000000002
230,CH_Balance,2030,5,9,9,0.0
231,CH_Balance,2030,5,10,10,0.20800000000000002
232,CH_Balance,2030,5,11,12,0.20800000000000002
233,CH_Balance,2030,5,13,14,0.20800000000000002
234,CH_Balance,2030,5,15,15,0.20800000000000002
235,CH_Balance,2030,5,16,16,0.0
236,CH_Balance,2030,5,17,18,0.20800000000000002
237,CH_Balance,2030,5,19,20,0.20800000000000002
238,CH_Balance,2030,5,21,21,0.0
239,CH_Balance,2030,5,22,22,0.20800000000000002
240,CH_Balance,2030,5,23,24,0.20800000000000002
241,CH_Balance,2030,6,1,2,0.3024
242,CH_Balance,2030,6,3,3,0.3024
243,CH_Balance,2030,6,4,4,0.0
244,CH_Balance,2030,6,5,6,0.3024
245,CH_Balance,2030,6,7,8,0.3024
246,CH_Balance,2030,6,9,9,0.0
247,CH_Balance,2030,6,10,10,0.3024
248,CH_Balance,2030,6,11,12,0.07200000000000001
