id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,solution
108,BE_CCGT,2030,9,23,24,true,0.0
109,BE_CCGT,2030,10,1,2,true,0.0
110,BE_CCGT,2030,10,3,4,true,0.0
111,BE_CCGT,2030,10,5,6,true,0.0
112,BE_CCGT,2030,10,7,8,true,0.0
113,BE_CCGT,2030,10,9,10,true,0.0
114,BE_CCGT,2030,10,11,12,true,0.0
115,BE_CCGT,2030,10,13,14,true,0.0
116,BE_CCGT,2030,10,15,16,true,0.0
117,BE_CCGT,2030,10,17,18,true,0.0
118,BE_CCGT,2030,10,19,20,true,0.0
119,BE_CCGT,2030,10,21,22,true,0.0
120,BE_CCGT,2030,10,23,24,true,0.0
121,BE_Coal,2030,1,1,3,true,0.0
122,BE_Coal,2030,1,4,6,true,0.0
123,BE_Coal,2030,1,7,9,true,0.0
