id,asset,year,rep_period,time_block_start,time_block_end,min_operating_point,dual_start_up_trajectory_lower_bound,dual_start_up_trajectory_upper_bound
1,BE_Coal,2030,1,1,3,0.325,0.0,0.0
2,BE_Coal,2030,1,4,6,0.325,0.0,0.0
3,BE_Coal,2030,1,7,9,0.325,0.0,0.0
4,BE_Coal,2030,1,10,12,0.325,0.0,0.0
5,BE_Coal,2030,1,13,15,0.325,0.0,0.0
6,BE_Coal,2030,1,16,18,0.325,0.0,0.0
7,BE_Coal,2030,1,19,21,0.325,0.0,0.0
8,BE_Coal,2030,1,22,24,0.325,0.0,0.0
9,BE_Coal,2030,2,1,3,0.325,0.0,0.0
10,BE_Coal,2030,2,4,6,0.325,0.0,0.0
11,BE_Coal,2030,2,7,9,0.325,0.0,0.0
12,BE_Coal,2030,2,10,12,0.325,0.0,0.0
13,BE_Coal,2030,2,13,15,0.325,0.0,0.0
14,BE_Coal,2030,2,16,18,0.325,0.0,0.0
15,BE_Coal,2030,2,19,21,0.325,0.0,0.0
16,BE_Coal,2030,2,22,24,0.325,0.0,0.0
17,BE_Coal,2030,3,1,3,0.325,0.0,0.0
18,BE_Coal,2030,3,4,6,0.325,0.0,0.0
19,BE_Coal,2030,3,7,9,0.325,0.0,0.0
20,BE_Coal,2030,3,10,12,0.325,0.0,0.0
21,BE_Coal,2030,3,13,15,0.325,0.0,0.0
22,BE_Coal,2030,3,16,18,0.325,0.0,0.0
23,BE_Coal,2030,3,19,21,0.325,0.0,0.0
24,BE_Coal,2030,3,22,24,0.325,0.0,0.0
25,BE_Coal,2030,4,1,3,0.325,0.0,0.0
26,BE_Coal,2030,4,4,6,0.325,0.0,0.0
27,BE_Coal,2030,4,7,9,0.325,0.0,0.0
28,BE_Coal,2030,4,10,12,0.325,0.0,0.0
29,BE_Coal,2030,4,13,15,0.325,0.0,0.0
30,BE_Coal,2030,4,16,18,0.325,0.0,0.0
31,BE_Coal,2030,4,19,21,0.325,0.0,0.0
32,BE_Coal,2030,4,22,24,0.325,0.0,0.0
33,BE_Coal,2030,5,1,3,0.325,0.0,0.0
34,BE_Coal,2030,5,4,6,0.325,0.0,0.0
35,BE_Coal,2030,5,7,9,0.325,0.0,0.0
36,BE_Coal,2030,5,10,12,0.325,0.0,0.0
37,BE_Coal,2030,5,13,15,0.325,0.0,0.0
38,BE_Coal,2030,5,16,18,0.325,0.0,0.0
39,BE_Coal,2030,5,19,21,0.325,0.0,0.0
40,BE_Coal,2030,5,22,24,0.325,0.0,0.0
41,BE_Coal,2030,6,1,3,0.325,0.0,0.0
42,BE_Coal,2030,6,4,6,0.325,0.0,0.0
43,BE_Coal,2030,6,7,9,0.325,0.0,0.0
44,BE_Coal,2030,6,10,12,0.325,0.0,0.0
45,BE_Coal,2030,6,13,15,0.325,0.0,0.0
46,BE_Coal,2030,6,16,18,0.325,0.0,0.0
47,BE_Coal,2030,6,19,21,0.325,0.0,0.0
48,BE_Coal,2030,6,22,24,0.325,0.0,0.0
49,BE_Coal,2030,7,1,3,0.325,0.0,0.0
50,BE_Coal,2030,7,4,6,0.325,0.0,0.0
51,BE_Coal,2030,7,7,9,0.325,0.0,0.0
52,BE_Coal,2030,7,10,12,0.325,0.0,0.0
53,BE_Coal,2030,7,13,15,0.325,0.0,0.0
54,BE_Coal,2030,7,16,18,0.325,0.0,0.0
55,BE_Coal,2030,7,19,21,0.325,0.0,0.0
56,BE_Coal,2030,7,22,24,0.325,0.0,0.0
57,BE_Coal,2030,8,1,3,0.325,0.0,0.0
58,BE_Coal,2030,8,4,6,0.325,0.0,0.0
59,BE_Coal,2030,8,7,9,0.325,0.0,0.0
60,BE_Coal,2030,8,10,12,0.325,0.0,0.0
61,BE_Coal,2030,8,13,15,0.325,0.0,0.0
62,BE_Coal,2030,8,16,18,0.325,0.0,0.0
63,BE_Coal,2030,8,19,21,0.325,0.0,0.0
64,BE_Coal,2030,8,22,24,0.325,0.0,0.0
65,BE_Coal,2030,9,1,3,0.325,0.0,0.0
66,BE_Coal,2030,9,4,6,0.325,0.0,0.0
67,BE_Coal,2030,9,7,9,0.325,0.0,0.0
68,BE_Coal,2030,9,10,12,0.325,0.0,0.0
69,BE_Coal,2030,9,13,15,0.325,0.0,0.0
70,BE_Coal,2030,9,16,18,0.325,0.0,0.0
71,BE_Coal,2030,9,19,21,0.325,0.0,0.0
72,BE_Coal,2030,9,22,24,0.325,0.0,0.0
73,BE_Coal,2030,10,1,3,0.325,0.0,0.0
74,BE_Coal,2030,10,4,6,0.325,0.0,0.0
75,BE_Coal,2030,10,7,9,0.325,0.0,0.0
76,BE_Coal,2030,10,10,12,0.325,0.0,0.0
77,BE_Coal,2030,10,13,15,0.325,0.0,0.0
78,BE_Coal,2030,10,16,18,0.325,0.0,0.0
79,BE_Coal,2030,10,19,21,0.325,0.0,0.0
80,BE_Coal,2030,10,22,24,0.325,0.0,0.0
81,BE_Nuclear,2030,1,1,2,0.5,0.0,0.0
82,BE_Nuclear,2030,1,3,4,0.5,0.0,0.0
83,BE_Nuclear,2030,1,5,6,0.5,0.0,0.0
84,BE_Nuclear,2030,1,7,8,0.5,0.0,0.0
85,BE_Nuclear,2030,1,9,10,0.5,0.0,0.0
86,BE_Nuclear,2030,1,11,12,0.5,0.0,0.0
87,BE_Nuclear,2030,1,13,14,0.5,0.0,0.0
88,BE_Nuclear,2030,1,15,16,0.5,0.0,0.0
89,BE_Nuclear,2030,1,17,18,0.5,0.0,0.0
