id,asset,year,rep_period,time_block_start,time_block_end,solution
1,BE_Battery,2030,1,1,2,0.0
2,BE_Battery,2030,1,3,4,2684.2449674116756
3,BE_Battery,2030,1,5,6,2684.2449674116756
4,BE_Battery,2030,1,7,8,2684.2449674116756
5,BE_Battery,2030,1,9,10,0.0
6,BE_Battery,2030,1,11,12,0.0
7,BE_Battery,2030,1,13,14,0.0
8,BE_Battery,2030,1,15,16,2684.2449674116756
9,BE_Battery,2030,1,17,18,2684.2449674116756
10,BE_Battery,2030,1,19,20,2522.6401030788165
11,BE_Battery,2030,1,21,22,0.0
12,BE_Battery,2030,1,23,24,0.0
13,BE_Battery,2030,2,1,2,0.0
14,BE_Battery,2030,2,3,4,2684.2449674116756
15,BE_Battery,2030,2,5,6,0.0
16,BE_Battery,2030,2,7,8,0.0
17,BE_Battery,2030,2,9,10,1013.4218727823209
18,BE_Battery,2030,2,11,12,0.0
19,BE_Battery,2030,2,13,14,0.0
20,BE_Battery,2030,2,15,16,2684.2449674116756
21,BE_Battery,2030,2,17,18,2684.2449674116756
22,BE_Battery,2030,2,19,20,0.0
23,BE_Battery,2030,2,21,22,0.0
24,BE_Battery,2030,2,23,24,0.0
25,BE_Battery,2030,3,1,2,0.0
26,BE_Battery,2030,3,3,4,0.0
27,BE_Battery,2030,3,5,6,1785.77523885548
28,BE_Battery,2030,3,7,8,0.0
29,BE_Battery,2030,3,9,10,0.0
30,BE_Battery,2030,3,11,12,0.0
31,BE_Battery,2030,3,13,14,0.0
32,BE_Battery,2030,3,15,16,0.0
33,BE_Battery,2030,3,17,18,0.0
34,BE_Battery,2030,3,19,20,0.0
35,BE_Battery,2030,3,21,22,0.0
36,BE_Battery,2030,3,23,24,0.0
37,BE_Battery,2030,4,1,2,2394.463361938979
38,BE_Battery,2030,4,3,4,2684.2449674116756
39,BE_Battery,2030,4,5,6,2684.2449674116756
40,BE_Battery,2030,4,7,8,0.0
41,BE_Battery,2030,4,9,10,0.0
42,BE_Battery,2030,4,11,12,0.0
43,BE_Battery,2030,4,13,14,0.0
44,BE_Battery,2030,4,15,16,2684.2449674116756
45,BE_Battery,2030,4,17,18,1985.1479009025302
46,BE_Battery,2030,4,19,20,0.0
47,BE_Battery,2030,4,21,22,0.0
48,BE_Battery,2030,4,23,24,0.0
49,BE_Battery,2030,5,1,2,0.0
50,BE_Battery,2030,5,3,4,0.0
51,BE_Battery,2030,5,5,6,0.0
52,BE_Battery,2030,5,7,8,0.0
53,BE_Battery,2030,5,9,10,0.0
54,BE_Battery,2030,5,11,12,0.0
55,BE_Battery,2030,5,13,14,0.0
56,BE_Battery,2030,5,15,16,0.0
57,BE_Battery,2030,5,17,18,0.0
58,BE_Battery,2030,5,19,20,0.0
59,BE_Battery,2030,5,21,22,0.0
60,BE_Battery,2030,5,23,24,0.0
61,BE_Battery,2030,6,1,2,2091.570073005268
62,BE_Battery,2030,6,3,4,2684.2449674116756
63,BE_Battery,2030,6,5,6,624.508656853199
64,BE_Battery,2030,6,7,8,0.0
65,BE_Battery,2030,6,9,10,0.0
66,BE_Battery,2030,6,11,12,0.0
67,BE_Battery,2030,6,13,14,2684.2449674116756
68,BE_Battery,2030,6,15,16,2684.2449674116756
69,BE_Battery,2030,6,17,18,2684.2449674116756
70,BE_Battery,2030,6,19,20,1646.8908328018126
71,BE_Battery,2030,6,21,22,0.0
72,BE_Battery,2030,6,23,24,0.0
73,BE_Battery,2030,7,1,2,2684.2449674116756
74,BE_Battery,2030,7,3,4,2684.2449674116756
75,BE_Battery,2030,7,5,6,2684.2449674116756
76,BE_Battery,2030,7,7,8,1872.0371650941302
77,BE_Battery,2030,7,9,10,1872.0371650941302
78,BE_Battery,2030,7,11,12,0.0
79,BE_Battery,2030,7,13,14,0.0
80,BE_Battery,2030,7,15,16,2684.2449674116756
81,BE_Battery,2030,7,17,18,2684.2449674116756
82,BE_Battery,2030,7,19,20,0.0
83,BE_Battery,2030,7,21,22,0.0
84,BE_Battery,2030,7,23,24,0.0
85,BE_Battery,2030,8,1,2,0.0
86,BE_Battery,2030,8,3,4,0.0
87,BE_Battery,2030,8,5,6,0.0
88,BE_Battery,2030,8,7,8,0.0
89,BE_Battery,2030,8,9,10,0.0
90,BE_Battery,2030,8,11,12,0.0
91,BE_Battery,2030,8,13,14,0.0
92,BE_Battery,2030,8,15,16,0.0
