id,asset,year,rep_period,time_block_start,time_block_end,solution
1,BE_Battery,2030,1,1,2,0.0
2,BE_Battery,2030,1,3,4,13.332951944252386
3,BE_Battery,2030,1,5,6,0.0
4,BE_Battery,2030,1,7,8,0.0
5,BE_Battery,2030,1,9,10,0.0
6,BE_Battery,2030,1,11,12,0.0
7,BE_Battery,2030,1,13,14,0.0
8,BE_Battery,2030,1,15,16,13.332951944252386
9,BE_Battery,2030,1,17,18,0.0
10,BE_Battery,2030,1,19,20,0.0
11,BE_Battery,2030,1,21,22,0.0
12,BE_Battery,2030,1,23,24,0.0
13,BE_Battery,2030,2,1,2,0.0
14,BE_Battery,2030,2,3,4,13.332951944252386
15,BE_Battery,2030,2,5,6,13.332951944252386
16,BE_Battery,2030,2,7,8,13.332951944252386
17,BE_Battery,2030,2,9,10,13.332951944252386
18,BE_Battery,2030,2,11,12,0.0
19,BE_Battery,2030,2,13,14,0.0
20,BE_Battery,2030,2,15,16,13.332951944252386
21,BE_Battery,2030,2,17,18,13.332951944252386
22,BE_Battery,2030,2,19,20,0.0
23,BE_Battery,2030,2,21,22,0.0
24,BE_Battery,2030,2,23,24,0.0
25,BE_Battery,2030,3,1,2,0.0
26,BE_Battery,2030,3,3,4,0.0
27,BE_Battery,2030,3,5,6,13.332951944252386
28,BE_Battery,2030,3,7,8,13.332951944252386
29,BE_Battery,2030,3,9,10,0.0
30,BE_Battery,2030,3,11,12,0.0
31,BE_Battery,2030,3,13,14,0.0
32,BE_Battery,2030,3,15,16,13.332951944252386
33,BE_Battery,2030,3,17,18,0.0
34,BE_Battery,2030,3,19,20,0.0
35,BE_Battery,2030,3,21,22,0.0
36,BE_Battery,2030,3,23,24,0.0
37,BE_Battery,2030,4,1,2,0.0
38,BE_Battery,2030,4,3,4,13.332951944252386
39,BE_Battery,2030,4,5,6,13.332951944252386
40,BE_Battery,2030,4,7,8,13.332951944252386
41,BE_Battery,2030,4,9,10,0.0
42,BE_Battery,2030,4,11,12,0.0
43,BE_Battery,2030,4,13,14,13.332951944252386
44,BE_Battery,2030,4,15,16,13.332951944252386
45,BE_Battery,2030,4,17,18,0.0
46,BE_Battery,2030,4,19,20,0.0
47,BE_Battery,2030,4,21,22,0.0
48,BE_Battery,2030,4,23,24,0.0
49,BE_Battery,2030,5,1,2,0.0
50,BE_Battery,2030,5,3,4,0.0
51,BE_Battery,2030,5,5,6,0.0
52,BE_Battery,2030,5,7,8,0.0
53,BE_Battery,2030,5,9,10,0.0
54,BE_Battery,2030,5,11,12,0.0
55,BE_Battery,2030,5,13,14,13.332951944252386
56,BE_Battery,2030,5,15,16,0.0
57,BE_Battery,2030,5,17,18,0.0
58,BE_Battery,2030,5,19,20,0.0
59,BE_Battery,2030,5,21,22,0.0
60,BE_Battery,2030,5,23,24,0.0
61,BE_Battery,2030,6,1,2,13.332951944252386
62,BE_Battery,2030,6,3,4,13.332951944252386
63,BE_Battery,2030,6,5,6,0.0
64,BE_Battery,2030,6,7,8,0.0
65,BE_Battery,2030,6,9,10,0.0
66,BE_Battery,2030,6,11,12,13.332951944252386
67,BE_Battery,2030,6,13,14,0.0
68,BE_Battery,2030,6,15,16,13.332951944252386
69,BE_Battery,2030,6,17,18,0.0
70,BE_Battery,2030,6,19,20,0.0
71,BE_Battery,2030,6,21,22,0.0
72,BE_Battery,2030,6,23,24,0.0
73,BE_Battery,2030,7,1,2,13.332951944252386
74,BE_Battery,2030,7,3,4,13.332951944252386
75,BE_Battery,2030,7,5,6,13.332951944252386
76,BE_Battery,2030,7,7,8,13.332951944252386
77,BE_Battery,2030,7,9,10,0.0
78,BE_Battery,2030,7,11,12,0.0
79,BE_Battery,2030,7,13,14,0.0
80,BE_Battery,2030,7,15,16,13.332951944252386
81,BE_Battery,2030,7,17,18,13.332951944252386
82,BE_Battery,2030,7,19,20,0.0
83,BE_Battery,2030,7,21,22,0.0
84,BE_Battery,2030,7,23,24,0.0
85,BE_Battery,2030,8,1,2,0.0
86,BE_Battery,2030,8,3,4,0.0
87,BE_Battery,2030,8,5,6,13.332951944252386
88,BE_Battery,2030,8,7,8,0.0
89,BE_Battery,2030,8,9,10,0.0
90,BE_Battery,2030,8,11,12,0.0
91,BE_Battery,2030,8,13,14,0.0
92,BE_Battery,2030,8,15,16,13.332951944252386
93,BE_Battery,2030,8,17,18,13.332951944252386
94,BE_Battery,2030,8,19,20,13.332951944252386
95,BE_Battery,2030,8,21,22,0.0
96,BE_Battery,2030,8,23,24,0.0
97,BE_Battery,2030,9,1,2,0.0
98,BE_Battery,2030,9,3,4,0.0
99,BE_Battery,2030,9,5,6,13.332951944252386
100,BE_Battery,2030,9,7,8,13.332951944252386
101,BE_Battery,2030,9,9,10,13.332951944252386
102,BE_Battery,2030,9,11,12,0.0
103,BE_Battery,2030,9,13,14,13.332951944252386
104,BE_Battery,2030,9,15,16,13.332951944252386
105,BE_Battery,2030,9,17,18,13.332951944252386
106,BE_Battery,2030,9,19,20,0.0
107,BE_Battery,2030,9,21,22,0.0
108,BE_Battery,2030,9,23,24,0.0
109,BE_Battery,2030,10,1,2,0.0
110,BE_Battery,2030,10,3,4,13.332951944252386
111,BE_Battery,2030,10,5,6,0.0
112,BE_Battery,2030,10,7,8,13.332951944252386
113,BE_Battery,2030,10,9,10,13.332951944252386
114,BE_Battery,2030,10,11,12,0.0
115,BE_Battery,2030,10,13,14,0.0
116,BE_Battery,2030,10,15,16,13.332951944252386
117,BE_Battery,2030,10,17,18,0.0
118,BE_Battery,2030,10,19,20,0.0
119,BE_Battery,2030,10,21,22,0.0
120,BE_Battery,2030,10,23,24,0.0
121,CH_Battery,2030,1,1,2,961.8352351327212
122,CH_Battery,2030,1,3,4,3910.342670449293
123,CH_Battery,2030,1,5,6,1095.135569195812
124,CH_Battery,2030,1,7,8,0.0
125,CH_Battery,2030,1,9,10,0.0
126,CH_Battery,2030,1,11,12,2948.507435316573
127,CH_Battery,2030,1,13,14,3880.999161176518
128,CH_Battery,2030,1,15,16,3910.342670449293
129,CH_Battery,2030,1,17,18,1657.0206317109705
130,CH_Battery,2030,1,19,20,0.0
131,CH_Battery,2030,1,21,22,0.0
132,CH_Battery,2030,1,23,24,0.0
133,CH_Battery,2030,2,1,2,1589.2631007750242
134,CH_Battery,2030,2,3,4,3838.790774389474
135,CH_Battery,2030,2,5,6,1942.5354984200876
136,CH_Battery,2030,2,7,8,0.0
137,CH_Battery,2030,2,9,10,0.0
138,CH_Battery,2030,2,11,12,0.0
139,CH_Battery,2030,2,13,14,2444.3273418235112
140,CH_Battery,2030,2,15,16,3910.342670449293
141,CH_Battery,2030,2,17,18,2912.9174331526406
142,CH_Battery,2030,2,19,20,0.0
143,CH_Battery,2030,2,21,22,0.0
144,CH_Battery,2030,2,23,24,0.0
145,CH_Battery,2030,3,1,2,1548.6325488736875
146,CH_Battery,2030,3,3,4,2613.959929683484
147,CH_Battery,2030,3,5,6,2624.0850789977612
148,CH_Battery,2030,3,7,8,1013.1478432679341
149,CH_Battery,2030,3,9,10,0.0
150,CH_Battery,2030,3,11,12,2309.5782906504446
151,CH_Battery,2030,3,13,14,3910.342670449293
152,CH_Battery,2030,3,15,16,3910.342670449293
153,CH_Battery,2030,3,17,18,2506.590954886746
154,CH_Battery,2030,3,19,20,1085.4929053646156
155,CH_Battery,2030,3,21,22,74.08377013237623
156,CH_Battery,2030,3,23,24,0.0
157,CH_Battery,2030,4,1,2,1324.3137706880007
158,CH_Battery,2030,4,3,4,2729.5053461023927
159,CH_Battery,2030,4,5,6,2729.5053461023927
160,CH_Battery,2030,4,7,8,1001.1638811307603
161,CH_Battery,2030,4,9,10,0.0
162,CH_Battery,2030,4,11,12,2349.330686864625
163,CH_Battery,2030,4,13,14,3910.342670449293
164,CH_Battery,2030,4,15,16,3910.342670449293
165,CH_Battery,2030,4,17,18,1940.7117064671684
166,CH_Battery,2030,4,19,20,885.5240876068619
167,CH_Battery,2030,4,21,22,0.0
168,CH_Battery,2030,4,23,24,0.0
169,CH_Battery,2030,5,1,2,1456.3410578853745
170,CH_Battery,2030,5,3,4,3140.027171392034
171,CH_Battery,2030,5,5,6,3910.342670449293
172,CH_Battery,2030,5,7,8,1767.834201662983
173,CH_Battery,2030,5,9,10,0.0
174,CH_Battery,2030,5,11,12,1027.6214040004852
175,CH_Battery,2030,5,13,14,2844.499384795437
176,CH_Battery,2030,5,15,16,3910.342670449293
177,CH_Battery,2030,5,17,18,1656.1552102073647
178,CH_Battery,2030,5,19,20,484.71834166929693
179,CH_Battery,2030,5,21,22,0.0
180,CH_Battery,2030,5,23,24,0.0
181,CH_Battery,2030,6,1,2,1634.7427842516008
182,CH_Battery,2030,6,3,4,3910.342670449293
183,CH_Battery,2030,6,5,6,974.1574177783186
184,CH_Battery,2030,6,7,8,974.1574177783186
185,CH_Battery,2030,6,9,10,0.0
186,CH_Battery,2030,6,11,12,2948.507435316573
187,CH_Battery,2030,6,13,14,3124.9132736820065
188,CH_Battery,2030,6,15,16,3910.342670449293
189,CH_Battery,2030,6,17,18,2868.1106200889153
190,CH_Battery,2030,6,19,20,1724.5931318117632
191,CH_Battery,2030,6,21,22,0.0
192,CH_Battery,2030,6,23,24,0.0
193,CH_Battery,2030,7,1,2,2664.4912442725645
194,CH_Battery,2030,7,3,4,3910.342670449293
195,CH_Battery,2030,7,5,6,3910.342670449293
196,CH_Battery,2030,7,7,8,961.8352351327203
197,CH_Battery,2030,7,9,10,0.0
198,CH_Battery,2030,7,11,12,259.5757891038638
199,CH_Battery,2030,7,13,14,2645.878268417594
200,CH_Battery,2030,7,15,16,3910.342670449293
201,CH_Battery,2030,7,17,18,3880.11823935545
202,CH_Battery,2030,7,19,20,931.6108040388772
203,CH_Battery,2030,7,21,22,0.0
204,CH_Battery,2030,7,23,24,0.0
205,CH_Battery,2030,8,1,2,1404.2414768136114
206,CH_Battery,2030,8,3,4,2912.898300276254
207,CH_Battery,2030,8,5,6,2948.507435316573
208,CH_Battery,2030,8,7,8,0.0
209,CH_Battery,2030,8,9,10,0.0
210,CH_Battery,2030,8,11,12,2913.3431407185817
211,CH_Battery,2030,8,13,14,3910.342670449293
212,CH_Battery,2030,8,15,16,3910.342670449293
213,CH_Battery,2030,8,17,18,1508.1691298573587
214,CH_Battery,2030,8,19,20,365.21028066421877
215,CH_Battery,2030,8,21,22,0.0
216,CH_Battery,2030,8,23,24,0.0
217,CH_Battery,2030,9,1,2,1585.2086601525662
218,CH_Battery,2030,9,3,4,3356.359435116552
219,CH_Battery,2030,9,5,6,3651.5142543730026
220,CH_Battery,2030,9,7,8,703.0068190564298
221,CH_Battery,2030,9,9,10,0.0
222,CH_Battery,2030,9,11,12,1958.198492665173
223,CH_Battery,2030,9,13,14,3168.844127149825
224,CH_Battery,2030,9,15,16,3910.342670449293
225,CH_Battery,2030,9,17,18,2246.875709164251
226,CH_Battery,2030,9,19,20,1935.5286471375293
227,CH_Battery,2030,9,21,22,0.0
228,CH_Battery,2030,9,23,24,0.0
229,CH_Battery,2030,10,1,2,0.0
230,CH_Battery,2030,10,3,4,2619.4221170446262
231,CH_Battery,2030,10,5,6,3900.6116635169574
232,CH_Battery,2030,10,7,8,1187.7096253623072
233,CH_Battery,2030,10,9,10,0.0
234,CH_Battery,2030,10,11,12,0.0
235,CH_Battery,2030,10,13,14,1162.6410759983792
236,CH_Battery,2030,10,15,16,3457.500879305307
237,CH_Battery,2030,10,17,18,2420.162505924696
238,CH_Battery,2030,10,19,20,0.0
239,CH_Battery,2030,10,21,22,0.0
240,CH_Battery,2030,10,23,24,0.0
241,DE_Battery,2030,1,1,2,7098.679393471597
242,DE_Battery,2030,1,3,4,7903.29364915163
243,DE_Battery,2030,1,5,6,7644.487775097725
244,DE_Battery,2030,1,7,8,0.0
245,DE_Battery,2030,1,9,10,1253.6541403349433
246,DE_Battery,2030,1,11,12,0.0
247,DE_Battery,2030,1,13,14,0.0
248,DE_Battery,2030,1,15,16,7903.29364915163
249,DE_Battery,2030,1,17,18,7903.29364915163
250,DE_Battery,2030,1,19,20,0.0
251,DE_Battery,2030,1,21,22,0.0
252,DE_Battery,2030,1,23,24,0.0
