id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,BE_Balance,2030,1,1,2,1.0653000000000001
2,BE_Balance,2030,1,3,3,0.0
3,BE_Balance,2030,1,4,4,1.0653000000000001
4,BE_Balance,2030,1,5,6,3.498
5,BE_Balance,2030,1,7,8,3.498
6,BE_Balance,2030,1,9,9,3.498
7,BE_Balance,2030,1,10,10,0.0
8,BE_Balance,2030,1,11,12,3.498
9,BE_Balance,2030,1,13,14,3.498
10,BE_Balance,2030,1,15,15,3.7375999999999974
11,BE_Balance,2030,1,16,16,-0.6837
12,BE_Balance,2030,1,17,18,3.498
13,BE_Balance,2030,1,19,20,3.498
14,BE_Balance,2030,1,21,21,-0.6837
15,BE_Balance,2030,1,22,22,2.6023
16,BE_Balance,2030,1,23,24,0.212
17,BE_Balance,2030,2,1,2,0.132
18,BE_Balance,2030,2,3,3,0.0
19,BE_Balance,2030,2,4,4,0.132
20,BE_Balance,2030,2,5,6,0.132
21,BE_Balance,2030,2,7,8,1.1682
22,BE_Balance,2030,2,9,9,0.5841000000000001
23,BE_Balance,2030,2,10,10,0.5841000000000001
24,BE_Balance,2030,2,11,12,1.1682000000000001
25,BE_Balance,2030,2,13,14,0.6633
26,BE_Balance,2030,2,15,15,1.089
27,BE_Balance,2030,2,16,16,-0.42569999999999997
28,BE_Balance,2030,2,17,18,2.178
29,BE_Balance,2030,2,19,20,2.178
30,BE_Balance,2030,2,21,21,-0.42569999999999997
31,BE_Balance,2030,2,22,22,1.6202999999999999
32,BE_Balance,2030,2,23,24,0.132
33,BE_Balance,2030,3,1,2,0.116
34,BE_Balance,2030,3,3,3,0.0
35,BE_Balance,2030,3,4,4,0.116
36,BE_Balance,2030,3,5,6,0.116
37,BE_Balance,2030,3,7,8,0.116
38,BE_Balance,2030,3,9,9,0.116
39,BE_Balance,2030,3,10,10,0.0
40,BE_Balance,2030,3,11,12,0.116
41,BE_Balance,2030,3,13,14,0.116
42,BE_Balance,2030,3,15,15,0.0
43,BE_Balance,2030,3,16,16,0.116
44,BE_Balance,2030,3,17,18,1.2797750000000003
45,BE_Balance,2030,3,19,20,0.116
46,BE_Balance,2030,3,21,21,0.116
47,BE_Balance,2030,3,22,22,0.0
48,BE_Balance,2030,3,23,24,0.116
49,BE_Balance,2030,4,1,2,0.092
50,BE_Balance,2030,4,3,3,0.092
51,BE_Balance,2030,4,4,4,0.0
52,BE_Balance,2030,4,5,6,0.092
53,BE_Balance,2030,4,7,8,0.9901500000000001
54,BE_Balance,2030,4,9,9,0.99015
55,BE_Balance,2030,4,10,10,0.0
56,BE_Balance,2030,4,11,12,0.46230000000000004
57,BE_Balance,2030,4,13,14,0.092
58,BE_Balance,2030,4,15,15,0.092
59,BE_Balance,2030,4,16,16,0.0
60,BE_Balance,2030,4,17,18,1.518
61,BE_Balance,2030,4,19,20,1.518
62,BE_Balance,2030,4,21,21,-0.29669999999999996
63,BE_Balance,2030,4,22,22,1.1293
64,BE_Balance,2030,4,23,24,0.092
65,BE_Balance,2030,5,1,2,0.20800000000000002
66,BE_Balance,2030,5,3,3,0.0
67,BE_Balance,2030,5,4,4,0.20800000000000002
68,BE_Balance,2030,5,5,6,0.20800000000000002
69,BE_Balance,2030,5,7,8,0.20800000000000002
70,BE_Balance,2030,5,9,9,0.20800000000000002
71,BE_Balance,2030,5,10,10,0.0
72,BE_Balance,2030,5,11,12,0.20800000000000002
73,BE_Balance,2030,5,13,14,0.20800000000000002
74,BE_Balance,2030,5,15,15,0.0
75,BE_Balance,2030,5,16,16,0.20800000000000002
76,BE_Balance,2030,5,17,18,0.20800000000000002
77,BE_Balance,2030,5,19,20,0.20800000000000002
78,BE_Balance,2030,5,21,21,0.20800000000000002
79,BE_Balance,2030,5,22,22,0.0
80,BE_Balance,2030,5,23,24,0.20800000000000002
81,BE_Balance,2030,6,1,2,0.4959
82,BE_Balance,2030,6,3,3,0.0
83,BE_Balance,2030,6,4,4,0.4959
84,BE_Balance,2030,6,5,6,0.9198
85,BE_Balance,2030,6,7,8,0.9198
86,BE_Balance,2030,6,9,9,0.03600000000000003
87,BE_Balance,2030,6,10,10,0.8837999999999999
88,BE_Balance,2030,6,11,12,0.07200000000000001
89,BE_Balance,2030,6,13,14,0.07200000000000001
90,BE_Balance,2030,6,15,15,0.0
91,BE_Balance,2030,6,16,16,0.07200000000000001
92,BE_Balance,2030,6,17,18,0.9198
93,BE_Balance,2030,6,19,20,0.9198
94,BE_Balance,2030,6,21,21,0.03600000000000003
95,BE_Balance,2030,6,22,22,0.8837999999999999
96,BE_Balance,2030,6,23,24,0.07200000000000001
97,BE_Balance,2030,7,1,2,0.7437
98,BE_Balance,2030,7,3,3,1.221
99,BE_Balance,2030,7,4,4,-0.47730000000000006
100,BE_Balance,2030,7,5,6,2.442
101,BE_Balance,2030,7,7,8,3.7739999999999996
102,BE_Balance,2030,7,9,9,3.7739999999999996
103,BE_Balance,2030,7,10,10,0.0
104,BE_Balance,2030,7,11,12,3.7739999999999996
105,BE_Balance,2030,7,13,14,3.7739999999999996
106,BE_Balance,2030,7,15,15,2.442
107,BE_Balance,2030,7,16,16,0.0
108,BE_Balance,2030,7,17,18,8.713681411332603
109,BE_Balance,2030,7,19,20,20.399797116998904
110,BE_Balance,2030,7,21,21,0.0
111,BE_Balance,2030,7,22,22,2.442
112,BE_Balance,2030,7,23,24,2.442
113,BE_Balance,2030,8,1,2,0.124
114,BE_Balance,2030,8,3,3,0.0
115,BE_Balance,2030,8,4,4,0.124
116,BE_Balance,2030,8,5,6,0.124
117,BE_Balance,2030,8,7,8,0.124
118,BE_Balance,2030,8,9,9,0.124
119,BE_Balance,2030,8,10,10,0.0
120,BE_Balance,2030,8,11,12,0.124
121,BE_Balance,2030,8,13,14,0.124
122,BE_Balance,2030,8,15,15,0.124
123,BE_Balance,2030,8,16,16,0.0
124,BE_Balance,2030,8,17,18,0.124
125,BE_Balance,2030,8,19,20,0.124
126,BE_Balance,2030,8,21,21,0.0
