id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flow_with_basic_unit_commitment
1,BE_CCGT,2030,1,1,2,0.0
2,BE_CCGT,2030,1,3,4,0.0
3,BE_CCGT,2030,1,5,6,0.0
4,BE_CCGT,2030,1,7,8,0.0
5,BE_CCGT,2030,1,9,10,0.0
6,BE_CCGT,2030,1,11,12,0.0
7,BE_CCGT,2030,1,13,14,0.0
8,BE_CCGT,2030,1,15,16,0.0
9,BE_CCGT,2030,1,17,18,0.0
10,BE_CCGT,2030,1,19,20,0.0
11,BE_CCGT,2030,1,21,22,0.0
12,BE_CCGT,2030,1,23,24,0.0
13,BE_CCGT,2030,2,1,2,0.0
14,BE_CCGT,2030,2,3,4,0.0
15,BE_CCGT,2030,2,5,6,0.0
16,BE_CCGT,2030,2,7,8,0.0
17,BE_CCGT,2030,2,9,10,0.0
18,BE_CCGT,2030,2,11,12,0.0
19,BE_CCGT,2030,2,13,14,0.0
20,BE_CCGT,2030,2,15,16,0.0
21,BE_CCGT,2030,2,17,18,0.0
22,BE_CCGT,2030,2,19,20,0.0
23,BE_CCGT,2030,2,21,22,0.0
24,BE_CCGT,2030,2,23,24,0.0
25,BE_CCGT,2030,3,1,2,0.0
26,BE_CCGT,2030,3,3,4,0.0
27,BE_CCGT,2030,3,5,6,0.0
28,BE_CCGT,2030,3,7,8,0.0
29,BE_CCGT,2030,3,9,10,0.0
30,BE_CCGT,2030,3,11,12,0.0
31,BE_CCGT,2030,3,13,14,0.0
32,BE_CCGT,2030,3,15,16,0.0
33,BE_CCGT,2030,3,17,18,0.0
34,BE_CCGT,2030,3,19,20,0.0
35,BE_CCGT,2030,3,21,22,0.0
36,BE_CCGT,2030,3,23,24,0.0
37,BE_CCGT,2030,4,1,2,0.0
38,BE_CCGT,2030,4,3,4,0.0
39,BE_CCGT,2030,4,5,6,0.0
40,BE_CCGT,2030,4,7,8,0.0
41,BE_CCGT,2030,4,9,10,0.0
42,BE_CCGT,2030,4,11,12,0.0
43,BE_CCGT,2030,4,13,14,0.0
44,BE_CCGT,2030,4,15,16,0.0
45,BE_CCGT,2030,4,17,18,0.0
46,BE_CCGT,2030,4,19,20,0.0
47,BE_CCGT,2030,4,21,22,0.0
48,BE_CCGT,2030,4,23,24,0.0
49,BE_CCGT,2030,5,1,2,0.0
50,BE_CCGT,2030,5,3,4,0.0
51,BE_CCGT,2030,5,5,6,0.0
52,BE_CCGT,2030,5,7,8,0.0
53,BE_CCGT,2030,5,9,10,0.0
54,BE_CCGT,2030,5,11,12,0.0
55,BE_CCGT,2030,5,13,14,0.0
56,BE_CCGT,2030,5,15,16,0.0
57,BE_CCGT,2030,5,17,18,0.0
58,BE_CCGT,2030,5,19,20,0.0
59,BE_CCGT,2030,5,21,22,0.0
60,BE_CCGT,2030,5,23,24,0.0
61,BE_CCGT,2030,6,1,2,0.0
62,BE_CCGT,2030,6,3,4,0.0
63,BE_CCGT,2030,6,5,6,0.0
64,BE_CCGT,2030,6,7,8,0.0
65,BE_CCGT,2030,6,9,10,0.0
66,BE_CCGT,2030,6,11,12,0.0
67,BE_CCGT,2030,6,13,14,0.0
68,BE_CCGT,2030,6,15,16,0.0
69,BE_CCGT,2030,6,17,18,0.0
70,BE_CCGT,2030,6,19,20,0.0
71,BE_CCGT,2030,6,21,22,0.0
72,BE_CCGT,2030,6,23,24,0.0
73,BE_CCGT,2030,7,1,2,0.0
74,BE_CCGT,2030,7,3,4,0.0
75,BE_CCGT,2030,7,5,6,0.0
76,BE_CCGT,2030,7,7,8,0.0
77,BE_CCGT,2030,7,9,10,0.0
78,BE_CCGT,2030,7,11,12,0.0
79,BE_CCGT,2030,7,13,14,0.0
80,BE_CCGT,2030,7,15,16,0.0
81,BE_CCGT,2030,7,17,18,0.0
82,BE_CCGT,2030,7,19,20,0.0
83,BE_CCGT,2030,7,21,22,0.0
84,BE_CCGT,2030,7,23,24,0.0
85,BE_CCGT,2030,8,1,2,0.0
86,BE_CCGT,2030,8,3,4,0.0
87,BE_CCGT,2030,8,5,6,0.0
88,BE_CCGT,2030,8,7,8,0.0
89,BE_CCGT,2030,8,9,10,0.0
90,BE_CCGT,2030,8,11,12,0.0
91,BE_CCGT,2030,8,13,14,0.0
92,BE_CCGT,2030,8,15,16,0.0
93,BE_CCGT,2030,8,17,18,0.0
94,BE_CCGT,2030,8,19,20,0.0
95,BE_CCGT,2030,8,21,22,0.0
96,BE_CCGT,2030,8,23,24,0.0
97,BE_CCGT,2030,9,1,2,0.0
98,BE_CCGT,2030,9,3,4,0.0
99,BE_CCGT,2030,9,5,6,0.0
100,BE_CCGT,2030,9,7,8,0.0
101,BE_CCGT,2030,9,9,10,0.0
102,BE_CCGT,2030,9,11,12,0.0
103,BE_CCGT,2030,9,13,14,0.0
104,BE_CCGT,2030,9,15,16,0.0
105,BE_CCGT,2030,9,17,18,0.0
106,BE_CCGT,2030,9,19,20,0.0
107,BE_CCGT,2030,9,21,22,0.0
108,BE_CCGT,2030,9,23,24,0.0
109,BE_CCGT,2030,10,1,2,0.0
110,BE_CCGT,2030,10,3,4,0.0
111,BE_CCGT,2030,10,5,6,0.0
112,BE_CCGT,2030,10,7,8,0.0
113,BE_CCGT,2030,10,9,10,0.0
114,BE_CCGT,2030,10,11,12,0.0
115,BE_CCGT,2030,10,13,14,0.0
116,BE_CCGT,2030,10,15,16,0.0
117,BE_CCGT,2030,10,17,18,0.0
118,BE_CCGT,2030,10,19,20,0.0
119,BE_CCGT,2030,10,21,22,0.0
120,BE_CCGT,2030,10,23,24,0.0
121,BE_Coal,2030,1,1,3,0.0
122,BE_Coal,2030,1,4,6,-1.749
123,BE_Coal,2030,1,7,9,0.0
124,BE_Coal,2030,1,10,12,0.0
125,BE_Coal,2030,1,13,15,0.0
126,BE_Coal,2030,1,16,18,0.0
127,BE_Coal,2030,1,19,21,0.0
128,BE_Coal,2030,1,22,24,0.0
129,BE_Coal,2030,2,1,3,0.0
130,BE_Coal,2030,2,4,6,0.0
131,BE_Coal,2030,2,7,9,0.0
132,BE_Coal,2030,2,10,12,0.0
133,BE_Coal,2030,2,13,15,0.0
134,BE_Coal,2030,2,16,18,0.0
135,BE_Coal,2030,2,19,21,0.0
136,BE_Coal,2030,2,22,24,0.0
137,BE_Coal,2030,3,1,3,0.0
138,BE_Coal,2030,3,4,6,0.0
139,BE_Coal,2030,3,7,9,0.0
140,BE_Coal,2030,3,10,12,0.0
141,BE_Coal,2030,3,13,15,0.0
142,BE_Coal,2030,3,16,18,0.0
143,BE_Coal,2030,3,19,21,0.0
144,BE_Coal,2030,3,22,24,0.0
145,BE_Coal,2030,4,1,3,0.0
146,BE_Coal,2030,4,4,6,0.0
147,BE_Coal,2030,4,7,9,-0.759
148,BE_Coal,2030,4,10,12,0.0
149,BE_Coal,2030,4,13,15,0.0
150,BE_Coal,2030,4,16,18,-0.29669999999999996
151,BE_Coal,2030,4,19,21,0.0
152,BE_Coal,2030,4,22,24,0.0
153,BE_Coal,2030,5,1,3,0.0
154,BE_Coal,2030,5,4,6,0.0
155,BE_Coal,2030,5,7,9,0.0
156,BE_Coal,2030,5,10,12,0.0
157,BE_Coal,2030,5,13,15,0.0
158,BE_Coal,2030,5,16,18,0.0
159,BE_Coal,2030,5,19,21,0.0
160,BE_Coal,2030,5,22,24,0.0
161,BE_Coal,2030,6,1,3,0.0
162,BE_Coal,2030,6,4,6,-0.4599
163,BE_Coal,2030,6,7,9,0.0
164,BE_Coal,2030,6,10,12,0.0
165,BE_Coal,2030,6,13,15,0.0
166,BE_Coal,2030,6,16,18,-0.035999999999999976
167,BE_Coal,2030,6,19,21,0.0
168,BE_Coal,2030,6,22,24,0.0
169,BE_Coal,2030,7,1,3,0.0
170,BE_Coal,2030,7,4,6,0.0
171,BE_Coal,2030,7,7,9,0.0
172,BE_Coal,2030,7,10,12,0.0
173,BE_Coal,2030,7,13,15,0.0
174,BE_Coal,2030,7,16,18,0.0
175,BE_Coal,2030,7,19,21,0.0
176,BE_Coal,2030,7,22,24,0.0
177,BE_Coal,2030,8,1,3,0.0
178,BE_Coal,2030,8,4,6,0.0
179,BE_Coal,2030,8,7,9,0.0
180,BE_Coal,2030,8,10,12,0.0
181,BE_Coal,2030,8,13,15,0.0
182,BE_Coal,2030,8,16,18,0.0
183,BE_Coal,2030,8,19,21,0.0
184,BE_Coal,2030,8,22,24,-0.062000000000000166
185,BE_Coal,2030,9,1,3,0.0
186,BE_Coal,2030,9,4,6,0.0
187,BE_Coal,2030,9,7,9,0.0
188,BE_Coal,2030,9,10,12,0.0
189,BE_Coal,2030,9,13,15,0.0
190,BE_Coal,2030,9,16,18,0.0
191,BE_Coal,2030,9,19,21,0.0
192,BE_Coal,2030,9,22,24,0.0
193,BE_Coal,2030,10,1,3,0.0
194,BE_Coal,2030,10,4,6,0.0
195,BE_Coal,2030,10,7,9,0.0
196,BE_Coal,2030,10,10,12,0.0
197,BE_Coal,2030,10,13,15,0.0
198,BE_Coal,2030,10,16,18,0.0
199,BE_Coal,2030,10,19,21,0.0
200,BE_Coal,2030,10,22,24,0.0
201,BE_Nuclear,2030,1,1,2,0.0
202,BE_Nuclear,2030,1,3,4,0.0
203,BE_Nuclear,2030,1,5,6,0.0
204,BE_Nuclear,2030,1,7,8,0.0
205,BE_Nuclear,2030,1,9,10,0.0
206,BE_Nuclear,2030,1,11,12,0.0
207,BE_Nuclear,2030,1,13,14,0.0
208,BE_Nuclear,2030,1,15,16,0.0
209,BE_Nuclear,2030,1,17,18,0.0
210,BE_Nuclear,2030,1,19,20,0.0
211,BE_Nuclear,2030,1,21,22,0.0
212,BE_Nuclear,2030,1,23,24,0.0
213,BE_Nuclear,2030,2,1,2,0.0
214,BE_Nuclear,2030,2,3,4,0.0
215,BE_Nuclear,2030,2,5,6,0.0
216,BE_Nuclear,2030,2,7,8,0.0
217,BE_Nuclear,2030,2,9,10,0.0
218,BE_Nuclear,2030,2,11,12,0.0
219,BE_Nuclear,2030,2,13,14,0.0
220,BE_Nuclear,2030,2,15,16,0.0
221,BE_Nuclear,2030,2,17,18,0.0
222,BE_Nuclear,2030,2,19,20,0.0
223,BE_Nuclear,2030,2,21,22,0.0
224,BE_Nuclear,2030,2,23,24,0.0
225,BE_Nuclear,2030,3,1,2,0.0
226,BE_Nuclear,2030,3,3,4,0.0
227,BE_Nuclear,2030,3,5,6,0.0
228,BE_Nuclear,2030,3,7,8,0.0
229,BE_Nuclear,2030,3,9,10,0.0
230,BE_Nuclear,2030,3,11,12,0.0
231,BE_Nuclear,2030,3,13,14,0.0
232,BE_Nuclear,2030,3,15,16,0.0
233,BE_Nuclear,2030,3,17,18,0.0
234,BE_Nuclear,2030,3,19,20,0.0
