id,asset,year,rep_period,time_block_start,time_block_end,solution
152,DE_Battery,2030,6,5,8,0.0
153,DE_Battery,2030,6,9,12,0.0
154,DE_Battery,2030,6,13,16,0.0
155,DE_Battery,2030,6,17,20,0.0
156,DE_Battery,2030,6,21,24,0.0
157,DE_Battery,2030,7,1,4,28034.13363901349
158,DE_Battery,2030,7,5,8,0.0
159,DE_Battery,2030,7,9,12,0.0
160,DE_Battery,2030,7,13,16,28034.13363901349
161,DE_Battery,2030,7,17,20,0.0
162,DE_Battery,2030,7,21,24,0.0
163,DE_Battery,2030,8,1,4,0.0
164,DE_Battery,2030,8,5,8,28034.13363901349
165,DE_Battery,2030,8,9,12,0.0
166,DE_Battery,2030,8,13,16,0.0
167,DE_Battery,2030,8,17,20,0.0
168,DE_Battery,2030,8,21,24,0.0
169,DE_Battery,2030,9,1,4,0.0
170,DE_Battery,2030,9,5,8,28034.13363901349
171,DE_Battery,2030,9,9,12,0.0
172,DE_Battery,2030,9,13,16,0.0
173,DE_Battery,2030,9,17,20,0.0
174,DE_Battery,2030,9,21,24,0.0
175,DE_Battery,2030,10,1,4,24749.96373528403
176,DE_Battery,2030,10,5,8,18686.001486356166
177,DE_Battery,2030,10,9,12,28031.498348511486
178,DE_Battery,2030,10,13,16,28034.13363901349
179,DE_Battery,2030,10,17,20,0.0
180,DE_Battery,2030,10,21,24,0.0
181,FR_Battery,2030,1,1,4,19.107951965241227
182,FR_Battery,2030,1,5,8,0.0
183,FR_Battery,2030,1,9,12,0.0
184,FR_Battery,2030,1,13,16,19.107951965241227
185,FR_Battery,2030,1,17,20,19.107951965241227
186,FR_Battery,2030,1,21,24,0.0
187,FR_Battery,2030,2,1,4,0.0
188,FR_Battery,2030,2,5,8,0.0
189,FR_Battery,2030,2,9,12,0.0
190,FR_Battery,2030,2,13,16,0.0
191,FR_Battery,2030,2,17,20,0.0
192,FR_Battery,2030,2,21,24,0.0
193,FR_Battery,2030,3,1,4,0.0
194,FR_Battery,2030,3,5,8,0.0
195,FR_Battery,2030,3,9,12,0.0
196,FR_Battery,2030,3,13,16,0.0
197,FR_Battery,2030,3,17,20,0.0
198,FR_Battery,2030,3,21,24,0.0
199,FR_Battery,2030,4,1,4,19.107951965241227
200,FR_Battery,2030,4,5,8,19.107951965241227
201,FR_Battery,2030,4,9,12,0.0
202,FR_Battery,2030,4,13,16,0.0
203,FR_Battery,2030,4,17,20,0.0
204,FR_Battery,2030,4,21,24,0.0
205,FR_Battery,2030,5,1,4,0.0
206,FR_Battery,2030,5,5,8,0.0
207,FR_Battery,2030,5,9,12,19.107951965241227
208,FR_Battery,2030,5,13,16,19.107951965241227
209,FR_Battery,2030,5,17,20,0.0
210,FR_Battery,2030,5,21,24,0.0
211,FR_Battery,2030,6,1,4,0.0
212,FR_Battery,2030,6,5,8,19.107951965241227
213,FR_Battery,2030,6,9,12,0.0
214,FR_Battery,2030,6,13,16,0.0
215,FR_Battery,2030,6,17,20,0.0
216,FR_Battery,2030,6,21,24,0.0
217,FR_Battery,2030,7,1,4,0.0
218,FR_Battery,2030,7,5,8,0.0
219,FR_Battery,2030,7,9,12,0.0
220,FR_Battery,2030,7,13,16,19.107951965241227
221,FR_Battery,2030,7,17,20,19.107951965241227
222,FR_Battery,2030,7,21,24,0.0
223,FR_Battery,2030,8,1,4,0.0
224,FR_Battery,2030,8,5,8,0.0
225,FR_Battery,2030,8,9,12,0.0
226,FR_Battery,2030,8,13,16,0.0
227,FR_Battery,2030,8,17,20,0.0
228,FR_Battery,2030,8,21,24,0.0
229,FR_Battery,2030,9,1,4,0.0
230,FR_Battery,2030,9,5,8,0.0
231,FR_Battery,2030,9,9,12,19.107951965241227
232,FR_Battery,2030,9,13,16,19.107951965241227
233,FR_Battery,2030,9,17,20,19.107951965241227
234,FR_Battery,2030,9,21,24,0.0
235,FR_Battery,2030,10,1,4,19.107951965241227
236,FR_Battery,2030,10,5,8,19.107951965241227
237,FR_Battery,2030,10,9,12,0.0
238,FR_Battery,2030,10,13,16,19.107951965241227
239,FR_Battery,2030,10,17,20,0.0
240,FR_Battery,2030,10,21,24,0.0
241,LU_Battery,2030,1,1,4,0.0
242,LU_Battery,2030,1,5,8,0.0
243,LU_Battery,2030,1,9,12,0.0
244,LU_Battery,2030,1,13,16,0.0
245,LU_Battery,2030,1,17,20,0.0
246,LU_Battery,2030,1,21,24,0.0
247,LU_Battery,2030,2,1,4,0.0
248,LU_Battery,2030,2,5,8,0.0
249,LU_Battery,2030,2,9,12,0.0
250,LU_Battery,2030,2,13,16,0.0
251,LU_Battery,2030,2,17,20,0.0
252,LU_Battery,2030,2,21,24,0.0
253,LU_Battery,2030,3,1,4,0.0
254,LU_Battery,2030,3,5,8,0.0
255,LU_Battery,2030,3,9,12,0.0
256,LU_Battery,2030,3,13,16,0.0
257,LU_Battery,2030,3,17,20,0.0
258,LU_Battery,2030,3,21,24,0.0
259,LU_Battery,2030,4,1,4,0.0
260,LU_Battery,2030,4,5,8,0.0
261,LU_Battery,2030,4,9,12,0.0
262,LU_Battery,2030,4,13,16,0.0
263,LU_Battery,2030,4,17,20,0.0
264,LU_Battery,2030,4,21,24,0.0
265,LU_Battery,2030,5,1,4,0.0
266,LU_Battery,2030,5,5,8,0.0
267,LU_Battery,2030,5,9,12,0.0
268,LU_Battery,2030,5,13,16,0.0
269,LU_Battery,2030,5,17,20,0.0
270,LU_Battery,2030,5,21,24,0.0
271,LU_Battery,2030,6,1,4,0.0
272,LU_Battery,2030,6,5,8,0.0
273,LU_Battery,2030,6,9,12,0.0
274,LU_Battery,2030,6,13,16,0.0
275,LU_Battery,2030,6,17,20,0.0
276,LU_Battery,2030,6,21,24,0.0
277,LU_Battery,2030,7,1,4,0.0
278,LU_Battery,2030,7,5,8,0.0
279,LU_Battery,2030,7,9,12,0.0
280,LU_Battery,2030,7,13,16,0.0
281,LU_Battery,2030,7,17,20,0.0
282,LU_Battery,2030,7,21,24,0.0
283,LU_Battery,2030,8,1,4,0.0
284,LU_Battery,2030,8,5,8,0.0
285,LU_Battery,2030,8,9,12,0.0
286,LU_Battery,2030,8,13,16,0.0
287,LU_Battery,2030,8,17,20,0.0
288,LU_Battery,2030,8,21,24,0.0
289,LU_Battery,2030,9,1,4,0.0
290,LU_Battery,2030,9,5,8,0.0
291,LU_Battery,2030,9,9,12,0.0
292,LU_Battery,2030,9,13,16,0.0
293,LU_Battery,2030,9,17,20,0.0
294,LU_Battery,2030,9,21,24,0.0
295,LU_Battery,2030,10,1,4,0.0
296,LU_Battery,2030,10,5,8,0.0
297,LU_Battery,2030,10,9,12,0.0
298,LU_Battery,2030,10,13,16,0.0
299,LU_Battery,2030,10,17,20,0.0
300,LU_Battery,2030,10,21,24,0.0
301,NL_Battery,2030,1,1,4,0.0
302,NL_Battery,2030,1,5,8,0.0
303,NL_Battery,2030,1,9,12,0.0
304,NL_Battery,2030,1,13,16,0.0
305,NL_Battery,2030,1,17,20,0.0
306,NL_Battery,2030,1,21,24,0.0
307,NL_Battery,2030,2,1,4,0.0
308,NL_Battery,2030,2,5,8,0.0
309,NL_Battery,2030,2,9,12,0.0
310,NL_Battery,2030,2,13,16,0.0
311,NL_Battery,2030,2,17,20,0.0
312,NL_Battery,2030,2,21,24,0.0
313,NL_Battery,2030,3,1,4,0.0
314,NL_Battery,2030,3,5,8,0.0
315,NL_Battery,2030,3,9,12,0.0
316,NL_Battery,2030,3,13,16,0.0
317,NL_Battery,2030,3,17,20,0.0
318,NL_Battery,2030,3,21,24,0.0
319,NL_Battery,2030,4,1,4,0.0
320,NL_Battery,2030,4,5,8,0.0
321,NL_Battery,2030,4,9,12,0.0
322,NL_Battery,2030,4,13,16,0.0
323,NL_Battery,2030,4,17,20,0.0
324,NL_Battery,2030,4,21,24,0.0
325,NL_Battery,2030,5,1,4,0.0
326,NL_Battery,2030,5,5,8,0.0
327,NL_Battery,2030,5,9,12,0.0
328,NL_Battery,2030,5,13,16,0.0
329,NL_Battery,2030,5,17,20,0.0
330,NL_Battery,2030,5,21,24,0.0
331,NL_Battery,2030,6,1,4,0.0
332,NL_Battery,2030,6,5,8,0.0
333,NL_Battery,2030,6,9,12,0.0
334,NL_Battery,2030,6,13,16,0.0
335,NL_Battery,2030,6,17,20,0.0
336,NL_Battery,2030,6,21,24,0.0
337,NL_Battery,2030,7,1,4,0.0
338,NL_Battery,2030,7,5,8,0.0
339,NL_Battery,2030,7,9,12,0.0
